algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,det_first,nearly_sorted,10000,0,184650315723,3468403,162,2.705801,1061
QuickSort,det_first,nearly_sorted,10000,1,184650315724,3715781,148,2.499491,904
QuickSort,det_first,nearly_sorted,10000,2,184650315725,2949187,144,1.747503,719
QuickSort,det_first,nearly_sorted,10000,3,184650315726,2513911,174,1.869327,690
QuickSort,det_first,nearly_sorted,10000,4,184650315727,2858231,142,1.813291,1212
QuickSort,det_first,nearly_sorted,10000,5,184650315728,2157591,136,1.729586,539
QuickSort,det_first,nearly_sorted,10000,6,184650315729,2527760,140,2.456613,862
QuickSort,det_first,nearly_sorted,10000,7,184650315730,3715748,156,2.656930,974
QuickSort,det_first,nearly_sorted,10000,8,184650315731,3399054,156,2.054935,903
QuickSort,det_first,nearly_sorted,10000,9,184650315732,2990259,150,2.117706,676
QuickSort,det_first,nearly_sorted,10000,10,184650315733,2871170,152,2.181539,1074
QuickSort,det_first,nearly_sorted,10000,11,184650315734,2186688,152,1.409249,893
QuickSort,det_first,nearly_sorted,10000,12,184650315735,2925466,154,1.771734,896
QuickSort,det_first,nearly_sorted,10000,13,184650315736,3869592,164,3.034187,1006
QuickSort,det_first,nearly_sorted,10000,14,184650315737,3014445,144,1.745409,1229
QuickSort,det_first,nearly_sorted,10000,15,184650315738,3607004,158,5.233242,935
QuickSort,det_first,nearly_sorted,10000,16,184650315739,3198057,160,2.411978,1030
QuickSort,det_first,nearly_sorted,10000,17,184650315740,3061691,158,1.846730,864
QuickSort,det_first,nearly_sorted,10000,18,184650315741,2732197,150,1.714223,1236
QuickSort,det_first,nearly_sorted,10000,19,184650315742,3716418,148,2.267507,948
QuickSort,det_first,nearly_sorted,10000,20,184650315743,2601522,164,1.488323,888
QuickSort,det_first,nearly_sorted,10000,21,184650315744,2729327,132,1.578100,1263
QuickSort,det_first,nearly_sorted,10000,22,184650315745,3821605,146,3.681415,1238
QuickSort,det_first,nearly_sorted,10000,23,184650315746,2069888,162,1.226758,978
QuickSort,det_first,nearly_sorted,10000,24,184650315747,2995240,152,1.755470,621
QuickSort,det_first,nearly_sorted,10000,25,184650315748,3121593,176,2.408081,855
QuickSort,det_first,nearly_sorted,10000,26,184650315749,4187486,160,2.558876,1397
QuickSort,det_first,nearly_sorted,10000,27,184650315750,3605866,152,2.046337,1053
QuickSort,det_first,nearly_sorted,10000,28,184650315751,2715203,150,1.663097,780
QuickSort,det_first,nearly_sorted,10000,29,184650315752,1631877,172,1.183608,564
QuickSort,det_first,nearly_sorted,10000,30,184650315753,2242984,136,1.300782,837
QuickSort,det_first,nearly_sorted,10000,31,184650315754,3061955,158,1.769640,699
QuickSort,det_first,nearly_sorted,10000,32,184650315755,5281375,140,3.111839,1045
QuickSort,det_first,nearly_sorted,10000,33,184650315756,3426056,148,1.966480,1085
QuickSort,det_first,nearly_sorted,10000,34,184650315757,5301480,158,2.963439,1087
QuickSort,det_first,nearly_sorted,10000,35,184650315758,1746928,152,1.090553,610
QuickSort,det_first,nearly_sorted,10000,36,184650315759,3323001,164,1.988957,791
QuickSort,det_first,nearly_sorted,10000,37,184650315760,3332931,144,2.549015,1104
