algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,det_first,random,1000,0,165267904937,15835,2304,0.063771,30
QuickSort,det_first,random,1000,1,165267904938,16983,2266,0.062110,28
QuickSort,det_first,random,1000,2,165267904939,15287,2322,0.080297,25
QuickSort,det_first,random,1000,3,165267904940,15231,2374,0.062452,22
QuickSort,det_first,random,1000,4,165267904941,15628,2341,0.061537,22
QuickSort,det_first,random,1000,5,165267904942,15134,2344,0.061838,20
QuickSort,det_first,random,1000,6,165267904943,15303,2351,0.061869,25
QuickSort,det_first,random,1000,7,165267904944,16512,2317,0.060721,25
QuickSort,det_first,random,1000,8,165267904945,15611,2386,0.061215,23
QuickSort,det_first,random,1000,9,165267904946,15261,2388,0.061144,23
QuickSort,det_first,random,1000,10,165267904947,14962,2382,0.061768,22
QuickSort,det_first,random,1000,11,165267904948,15042,2335,0.060470,21
QuickSort,det_first,random,1000,12,165267904949,15378,2380,0.066106,22
QuickSort,det_first,random,1000,13,165267904950,15167,2331,0.061356,22
QuickSort,det_first,random,1000,14,165267904951,14379,2362,0.061477,23
QuickSort,det_first,random,1000,15,165267904952,14862,2357,0.059966,20
QuickSort,det_first,random,1000,16,165267904953,15012,2399,0.060922,24
QuickSort,det_first,random,1000,17,165267904954,15167,2386,0.059997,22
QuickSort,det_first,random,1000,18,165267904955,14657,2384,0.070877,20
QuickSort,det_first,random,1000,19,165267904956,15530,2330,0.059675,24
QuickSort,det_first,random,1000,20,165267904957,15413,2341,0.060551,24
QuickSort,det_first,random,1000,21,165267904958,14663,2391,0.060379,20
QuickSort,det_first,random,1000,22,165267904959,15910,2318,0.059996,27
QuickSort,det_first,random,1000,23,165267904960,15255,2328,0.059312,22
QuickSort,det_first,random,1000,24,165267904961,16173,2286,0.058396,23
QuickSort,det_first,random,1000,25,165267904962,15734,2339,0.060399,25
QuickSort,det_first,random,1000,26,165267904963,17055,2367,0.060842,24
QuickSort,det_first,random,1000,27,165267904964,15101,2367,0.061124,22
QuickSort,det_first,random,1000,28,165267904965,15310,2351,0.059433,22
QuickSort,det_first,random,1000,29,165267904966,16542,2317,0.059141,26
QuickSort,det_first,random,1000,30,165267904967,14947,2384,0.060530,23
QuickSort,det_first,random,1000,31,165267904968,16114,2368,0.117980,22
QuickSort,det_first,random,1000,32,165267904969,14882,2368,0.077731,23
QuickSort,det_first,random,1000,33,165267904970,15103,2367,0.060812,24
QuickSort,det_first,random,1000,34,165267904971,16397,2348,0.060127,25
QuickSort,det_first,random,1000,35,165267904972,15075,2365,0.060309,21
QuickSort,det_first,random,1000,36,165267904973,16490,2288,0.058638,24
QuickSort,det_first,random,1000,37,165267904974,15360,2341,0.059191,23
