algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,det_first,reverse,10000,0,179284244382,50019998,5000,25.603584,9998
QuickSort,det_first,reverse,10000,1,179284244383,50019998,5000,24.671241,9998
QuickSort,det_first,reverse,10000,2,179284244384,50019998,5000,28.714259,9998
QuickSort,det_first,reverse,10000,3,179284244385,50019998,5000,28.992619,9998
QuickSort,det_first,reverse,10000,4,179284244386,50019998,5000,25.026740,9998
QuickSort,det_first,reverse,10000,5,179284244387,50019998,5000,25.951380,9998
QuickSort,det_first,reverse,10000,6,179284244388,50019998,5000,27.600676,9998
QuickSort,det_first,reverse,10000,7,179284244389,50019998,5000,25.936871,9998
QuickSort,det_first,reverse,10000,8,179284244390,50019998,5000,25.288915,9998
QuickSort,det_first,reverse,10000,9,179284244391,50019998,5000,26.756148,9998
QuickSort,det_first,reverse,10000,10,179284244392,50019998,5000,28.604893,9998
QuickSort,det_first,reverse,10000,11,179284244393,50019998,5000,26.903105,9998
QuickSort,det_first,reverse,10000,12,179284244394,50019998,5000,25.032863,9998
QuickSort,det_first,reverse,10000,13,179284244395,50019998,5000,25.687967,9998
QuickSort,det_first,reverse,10000,14,179284244396,50019998,5000,27.538788,9998
QuickSort,det_first,reverse,10000,15,179284244397,50019998,5000,24.253636,9998
QuickSort,det_first,reverse,10000,16,179284244398,50019998,5000,24.865447,9998
QuickSort,det_first,reverse,10000,17,179284244399,50019998,5000,24.255435,9998
QuickSort,det_first,reverse,10000,18,179284244400,50019998,5000,27.400615,9998
QuickSort,det_first,reverse,10000,19,179284244401,50019998,5000,26.505881,9998
QuickSort,det_first,reverse,10000,20,179284244402,50019998,5000,27.392208,9998
QuickSort,det_first,reverse,10000,21,179284244403,50019998,5000,24.960926,9998
QuickSort,det_first,reverse,10000,22,179284244404,50019998,5000,22.869408,9998
QuickSort,det_first,reverse,10000,23,179284244405,50019998,5000,27.835977,9998
QuickSort,det_first,reverse,10000,24,179284244406,50019998,5000,24.118587,9998
QuickSort,det_first,reverse,10000,25,179284244407,50019998,5000,23.216800,9998
QuickSort,det_first,reverse,10000,26,179284244408,50019998,5000,33.906539,9998
QuickSort,det_first,reverse,10000,27,179284244409,50019998,5000,36.781189,9998
QuickSort,det_first,reverse,10000,28,179284244410,50019998,5000,24.486927,9998
QuickSort,det_first,reverse,10000,29,179284244411,50019998,5000,29.874284,9998
QuickSort,det_first,reverse,10000,30,179284244412,50019998,5000,24.842204,9998
QuickSort,det_first,reverse,10000,31,179284244413,50019998,5000,23.185937,9998
QuickSort,det_first,reverse,10000,32,179284244414,50019998,5000,22.643264,9998
QuickSort,det_first,reverse,10000,33,179284244415,50019998,5000,23.983249,9998
QuickSort,det_first,reverse,10000,34,179284244416,50019998,5000,24.167671,9998
QuickSort,det_first,reverse,10000,35,179284244417,50019998,5000,25.962053,9998
QuickSort,det_first,reverse,10000,36,179284244418,50019998,5000,23.708771,9998
QuickSort,det_first,reverse,10000,37,179284244419,50019998,5000,23.432656,9998
QuickSort,det_first,reverse,10000,38,179284244420,50019998,5000,24.820967,9998
QuickSort,det_first,reverse,10000,39,179284244421,50019998,5000,27.366256,9998
QuickSort,det_first,reverse,10000,40,179284244422,50019998,5000,26.319717,9998
QuickSort,det_first,reverse,10000,41,179284244423,50019998,5000,24.527756,9998
QuickSort,det_first,reverse,10000,42,179284244424,50019998,5000,23.995370,9998
QuickSort,det_first,reverse,10000,43,179284244425,50019998,5000,24.666367,9998
QuickSort,det_first,reverse,10000,44,179284244426,50019998,5000,23.359043,9998
QuickSort,det_first,reverse,10000,45,179284244427,50019998,5000,23.027151,9998
QuickSort,det_first,reverse,10000,46,179284244428,50019998,5000,22.344370,9998
QuickSort,det_first,reverse,10000,47,179284244429,50019998,5000,23.253223,9998
QuickSort,det_first,reverse,10000,48,179284244430,50019998,5000,23.145768,9998
QuickSort,det_first,reverse,10000,49,179284244431,50019998,5000,23.062256,9998
QuickSort,det_first,reverse,10000,50,179284244432,50019998,5000,23.405454,9998
QuickSort,det_first,reverse,10000,51,179284244433,50019998,5000,25.153043,9998
QuickSort,det_first,reverse,10000,52,179284244434,50019998,5000,25.238679,9998
QuickSort,det_first,reverse,10000,53,179284244435,50019998,5000,24.863166,9998
QuickSort,det_first,reverse,10000,54,179284244436,50019998,5000,25.332465,9998
QuickSort,det_first,reverse,10000,55,179284244437,50019998,5000,25.989791,9998
QuickSort,det_first,reverse,10000,56,179284244438,50019998,5000,24.993121,9998
QuickSort,det_first,reverse,10000,57,179284244439,50019998,5000,25.418043,9998
QuickSort,det_first,reverse,10000,58,179284244440,50019998,5000,24.022949,9998
QuickSort,det_first,reverse,10000,59,179284244441,50019998,5000,26.274456,9998
QuickSort,det_first,reverse,10000,60,179284244442,50019998,5000,24.726853,9998
QuickSort,det_first,reverse,10000,61,179284244443,50019998,5000,24.016907,9998
QuickSort,det_first,reverse,10000,62,179284244444,50019998,5000,25.991193,9998
QuickSort,det_first,reverse,10000,63,179284244445,50019998,5000,29.162447,9998
QuickSort,det_first,reverse,10000,64,179284244446,50019998,5000,23.404455,9998
QuickSort,det_first,reverse,10000,65,179284244447,50019998,5000,27.031509,9998
QuickSort,det_first,reverse,10000,66,179284244448,50019998,5000,23.514150,9998
QuickSort,det_first,reverse,10000,67,179284244449,50019998,5000,25.829468,9998
QuickSort,det_first,reverse,10000,68,179284244450,50019998,5000,22.472690,9998
QuickSort,det_first,reverse,10000,69,179284244451,50019998,5000,22.970184,9998
QuickSort,det_first,reverse,10000,70,179284244452,50019998,5000,23.681631,9998
QuickSort,det_first,reverse,10000,71,179284244453,50019998,5000,22.913897,9998
QuickSort,det_first,reverse,10000,72,179284244454,50019998,5000,24.706558,9998
QuickSort,det_first,reverse,10000,73,179284244455,50019998,5000,22.947822,9998
QuickSort,det_first,reverse,10000,74,179284244456,50019998,5000,24.052922,9998
QuickSort,det_first,reverse,10000,75,179284244457,50019998,5000,23.415867,9998
QuickSort,det_first,reverse,10000,76,179284244458,50019998,5000,23.257183,9998
QuickSort,det_first,reverse,10000,77,179284244459,50019998,5000,24.633171,9998
QuickSort,det_first,reverse,10000,78,179284244460,50019998,5000,33.455393,9998
QuickSort,det_first,reverse,10000,79,179284244461,50019998,5000,24.397002,9998
QuickSort,det_first,reverse,10000,80,179284244462,50019998,5000,23.424700,9998
QuickSort,det_first,reverse,10000,81,179284244463,50019998,5000,26.426936,9998
QuickSort,det_first,reverse,10000,82,179284244464,50019998,5000,25.625555,9998
QuickSort,det_first,reverse,10000,83,179284244465,50019998,5000,23.013149,9998
QuickSort,det_first,reverse,10000,84,179284244466,50019998,5000,23.055715,9998
QuickSort,det_first,reverse,10000,85,179284244467,50019998,5000,22.872587,9998
QuickSort,det_first,reverse,10000,86,179284244468,50019998,5000,26.588690,9998
QuickSort,det_first,reverse,10000,87,179284244469,50019998,5000,22.779989,9998
QuickSort,det_first,reverse,10000,88,179284244470,50019998,5000,22.384021,9998
QuickSort,det_first,reverse,10000,89,179284244471,50019998,5000,22.615939,9998
QuickSort,det_first,reverse,10000,90,179284244472,50019998,5000,23.899407,9998
QuickSort,det_first,reverse,10000,91,179284244473,50019998,5000,26.503081,9998
QuickSort,det_first,reverse,10000,92,179284244474,50019998,5000,26.055754,9998
QuickSort,det_first,reverse,10000,93,179284244475,50019998,5000,23.167666,9998
QuickSort,det_first,reverse,10000,94,179284244476,50019998,5000,26.251643,9998
QuickSort,det_first,reverse,10000,95,179284244477,50019998,5000,23.287111,9998
QuickSort,det_first,reverse,10000,96,179284244478,50019998,5000,23.390597,9998
QuickSort,det_first,reverse,10000,97,179284244479,50019998,5000,23.361691,9998
QuickSort,det_first,reverse,10000,98,179284244480,50019998,5000,24.910618,9998
QuickSort,det_first,reverse,10000,99,179284244481,50019998,5000,24.570303,9998
