algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,det_first,sorted,1000,0,165383534902,501498,0,0.307220,998
QuickSort,det_first,sorted,1000,1,165383534903,501498,0,0.293612,998
QuickSort,det_first,sorted,1000,2,165383534904,501498,0,0.407788,998
QuickSort,det_first,sorted,1000,3,165383534905,501498,0,0.395268,998
QuickSort,det_first,sorted,1000,4,165383534906,501498,0,0.331124,998
QuickSort,det_first,sorted,1000,5,165383534907,501498,0,0.282149,998
QuickSort,det_first,sorted,1000,6,165383534908,501498,0,0.301735,998
QuickSort,det_first,sorted,1000,7,165383534909,501498,0,0.293311,998
QuickSort,det_first,sorted,1000,8,165383534910,501498,0,0.282129,998
QuickSort,det_first,sorted,1000,9,165383534911,501498,0,0.281957,998
QuickSort,det_first,sorted,1000,10,165383534912,501498,0,0.281957,998
QuickSort,det_first,sorted,1000,11,165383534913,501498,0,0.308921,998
QuickSort,det_first,sorted,1000,12,165383534914,501498,0,0.282068,998
QuickSort,det_first,sorted,1000,13,165383534915,501498,0,0.311558,998
QuickSort,det_first,sorted,1000,14,165383534916,501498,0,0.292837,998
QuickSort,det_first,sorted,1000,15,165383534917,501498,0,0.282098,998
QuickSort,det_first,sorted,1000,16,165383534918,501498,0,0.339609,998
QuickSort,det_first,sorted,1000,17,165383534919,501498,0,0.312272,998
QuickSort,det_first,sorted,1000,18,165383534920,501498,0,0.294750,998
QuickSort,det_first,sorted,1000,19,165383534921,501498,0,0.334606,998
QuickSort,det_first,sorted,1000,20,165383534922,501498,0,0.416465,998
QuickSort,det_first,sorted,1000,21,165383534923,501498,0,0.331597,998
QuickSort,det_first,sorted,1000,22,165383534924,501498,0,0.282370,998
QuickSort,det_first,sorted,1000,23,165383534925,501498,0,0.282018,998
QuickSort,det_first,sorted,1000,24,165383534926,501498,0,0.282017,998
QuickSort,det_first,sorted,1000,25,165383534927,501498,0,0.309887,998
QuickSort,det_first,sorted,1000,26,165383534928,501498,0,0.282118,998
QuickSort,det_first,sorted,1000,27,165383534929,501498,0,0.303949,998
QuickSort,det_first,sorted,1000,28,165383534930,501498,0,0.332060,998
QuickSort,det_first,sorted,1000,29,165383534931,501498,0,0.282118,998
QuickSort,det_first,sorted,1000,30,165383534932,501498,0,0.281967,998
QuickSort,det_first,sorted,1000,31,165383534933,501498,0,0.281957,998
QuickSort,det_first,sorted,1000,32,165383534934,501498,0,0.296642,998
QuickSort,det_first,sorted,1000,33,165383534935,501498,0,0.342709,998
QuickSort,det_first,sorted,1000,34,165383534936,501498,0,0.325931,998
QuickSort,det_first,sorted,1000,35,165383534937,501498,0,0.357252,998
QuickSort,det_first,sorted,1000,36,165383534938,501498,0,0.282229,998
