algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,det_last,few_distinct,10000,0,185377581183,158365,68470,0.288164,20
QuickSort,det_last,few_distinct,10000,1,185377581184,164861,69103,0.285027,20
QuickSort,det_last,few_distinct,10000,2,185377581185,153404,68771,0.305198,17
QuickSort,det_last,few_distinct,10000,3,185377581186,159304,68631,0.289656,19
QuickSort,det_last,few_distinct,10000,4,185377581187,163687,68277,0.279396,20
QuickSort,det_last,few_distinct,10000,5,185377581188,163842,68590,0.293966,19
QuickSort,det_last,few_distinct,10000,6,185377581189,158590,68697,0.393447,19
QuickSort,det_last,few_distinct,10000,7,185377581190,157988,68495,0.289987,18
QuickSort,det_last,few_distinct,10000,8,185377581191,165841,68277,0.284095,20
QuickSort,det_last,few_distinct,10000,9,185377581192,156291,68799,0.286039,19
QuickSort,det_last,few_distinct,10000,10,185377581193,154601,68644,0.298474,19
QuickSort,det_last,few_distinct,10000,11,185377581194,169545,68592,0.298916,22
QuickSort,det_last,few_distinct,10000,12,185377581195,158018,68540,0.289827,19
QuickSort,det_last,few_distinct,10000,13,185377581196,165451,67903,0.275278,20
QuickSort,det_last,few_distinct,10000,14,185377581197,153889,68686,0.538100,18
QuickSort,det_last,few_distinct,10000,15,185377581198,159795,68866,0.450903,18
QuickSort,det_last,few_distinct,10000,16,185377581199,165569,68438,0.345450,20
QuickSort,det_last,few_distinct,10000,17,185377581200,159507,68860,0.451364,20
QuickSort,det_last,few_distinct,10000,18,185377581201,159006,68576,0.427807,19
QuickSort,det_last,few_distinct,10000,19,185377581202,162572,68236,0.406874,21
QuickSort,det_last,few_distinct,10000,20,185377581203,162404,68646,0.278083,20
QuickSort,det_last,few_distinct,10000,21,185377581204,155927,68533,0.288996,19
QuickSort,det_last,few_distinct,10000,22,185377581205,162574,68377,0.305950,22
QuickSort,det_last,few_distinct,10000,23,185377581206,159076,68716,0.476566,19
QuickSort,det_last,few_distinct,10000,24,185377581207,164696,68181,0.694917,20
QuickSort,det_last,few_distinct,10000,25,185377581208,161841,68186,0.420091,21
QuickSort,det_last,few_distinct,10000,26,185377581209,161414,68641,0.339246,18
QuickSort,det_last,few_distinct,10000,27,185377581210,159609,68128,0.283354,19
QuickSort,det_last,few_distinct,10000,28,185377581211,156159,68546,0.390651,17
QuickSort,det_last,few_distinct,10000,29,185377581212,156678,68476,0.427526,20
QuickSort,det_last,few_distinct,10000,30,185377581213,155006,68660,0.294817,18
QuickSort,det_last,few_distinct,10000,31,185377581214,160073,68846,0.484992,19
QuickSort,det_last,few_distinct,10000,32,185377581215,160265,69013,0.282994,19
QuickSort,det_last,few_distinct,10000,33,185377581216,157875,68461,0.288905,21
QuickSort,det_last,few_distinct,10000,34,185377581217,164438,68422,0.278314,21
QuickSort,det_last,few_distinct,10000,35,185377581218,160275,68470,0.293876,20
QuickSort,det_last,few_distinct,10000,36,185377581219,157763,68585,0.296511,19
QuickSort,det_last,few_distinct,10000,37,185377581220,156452,68458,0.293635,17
QuickSort,det_last,few_distinct,10000,38,185377581221,159925,68552,0.313886,19
QuickSort,det_last,few_distinct,10000,39,185377581222,156246,69071,0.311070,18
QuickSort,det_last,few_distinct,10000,40,185377581223,152677,68811,0.393367,18
QuickSort,det_last,few_distinct,10000,41,185377581224,164173,68001,0.307934,21
QuickSort,det_last,few_distinct,10000,42,185377581225,153854,68727,0.322813,19
QuickSort,det_last,few_distinct,10000,43,185377581226,159030,68583,0.325589,19
QuickSort,det_last,few_distinct,10000,44,185377581227,160497,68402,0.278615,19
QuickSort,det_last,few_distinct,10000,45,185377581228,161031,68611,0.301811,20
QuickSort,det_last,few_distinct,10000,46,185377581229,160028,68545,0.283103,21
QuickSort,det_last,few_distinct,10000,47,185377581230,166323,68038,0.386543,21
QuickSort,det_last,few_distinct,10000,48,185377581231,158161,68478,0.313625,18
QuickSort,det_last,few_distinct,10000,49,185377581232,161387,68494,0.466014,18
QuickSort,det_last,few_distinct,10000,50,185377581233,162106,68272,0.438859,20
QuickSort,det_last,few_distinct,10000,51,185377581234,163831,68110,0.377374,20
QuickSort,det_last,few_distinct,10000,52,185377581235,160663,68820,0.368396,19
QuickSort,det_last,few_distinct,10000,53,185377581236,156225,68721,0.295448,18
QuickSort,det_last,few_distinct,10000,54,185377581237,158752,68330,0.290218,20
QuickSort,det_last,few_distinct,10000,55,185377581238,164274,68490,0.283544,19
QuickSort,det_last,few_distinct,10000,56,185377581239,164661,67936,0.290338,21
QuickSort,det_last,few_distinct,10000,57,185377581240,156873,68649,0.301470,19
QuickSort,det_last,few_distinct,10000,58,185377581241,158207,68835,0.297673,18
QuickSort,det_last,few_distinct,10000,59,185377581242,155770,68788,0.292854,17
QuickSort,det_last,few_distinct,10000,60,185377581243,159899,69140,0.283785,19
QuickSort,det_last,few_distinct,10000,61,185377581244,156189,68744,0.292844,18
QuickSort,det_last,few_distinct,10000,62,185377581245,155853,68397,0.311300,19
QuickSort,det_last,few_distinct,10000,63,185377581246,154837,68579,0.292453,17
QuickSort,det_last,few_distinct,10000,64,185377581247,160611,68234,0.287372,19
QuickSort,det_last,few_distinct,10000,65,185377581248,155438,68728,0.293715,19
QuickSort,det_last,few_distinct,10000,66,185377581249,153677,68761,0.290609,18
QuickSort,det_last,few_distinct,10000,67,185377581250,156854,68571,0.289396,18
QuickSort,det_last,few_distinct,10000,68,185377581251,166689,68121,0.290859,21
QuickSort,det_last,few_distinct,10000,69,185377581252,156086,68759,0.292893,20
QuickSort,det_last,few_distinct,10000,70,185377581253,159822,68608,0.293003,20
QuickSort,det_last,few_distinct,10000,71,185377581254,154451,68871,0.294998,19
QuickSort,det_last,few_distinct,10000,72,185377581255,159624,68201,0.287332,19
QuickSort,det_last,few_distinct,10000,73,185377581256,162483,68299,0.279275,19
QuickSort,det_last,few_distinct,10000,74,185377581257,154133,68780,0.305419,19
QuickSort,det_last,few_distinct,10000,75,185377581258,154927,69284,0.294276,17
QuickSort,det_last,few_distinct,10000,76,185377581259,159127,68361,0.284978,18
QuickSort,det_last,few_distinct,10000,77,185377581260,164966,68522,0.306381,19
QuickSort,det_last,few_distinct,10000,78,185377581261,158164,68952,0.285679,19
QuickSort,det_last,few_distinct,10000,79,185377581262,157491,68297,0.305529,19
QuickSort,det_last,few_distinct,10000,80,185377581263,164296,68378,0.300549,21
QuickSort,det_last,few_distinct,10000,81,185377581264,156988,68237,0.308425,19
QuickSort,det_last,few_distinct,10000,82,185377581265,164144,68013,0.276400,20
QuickSort,det_last,few_distinct,10000,83,185377581266,158805,68631,0.285348,18
QuickSort,det_last,few_distinct,10000,84,185377581267,157738,68437,0.286480,19
QuickSort,det_last,few_distinct,10000,85,185377581268,167015,68019,0.290118,22
QuickSort,det_last,few_distinct,10000,86,185377581269,164742,68279,0.281941,19
QuickSort,det_last,few_distinct,10000,87,185377581270,163350,68167,0.287632,19
QuickSort,det_last,few_distinct,10000,88,185377581271,157177,68757,0.295709,18
QuickSort,det_last,few_distinct,10000,89,185377581272,157178,68605,0.306891,19
QuickSort,det_last,few_distinct,10000,90,185377581273,154412,68667,0.348225,18
QuickSort,det_last,few_distinct,10000,91,185377581274,166615,68260,0.275529,20
QuickSort,det_last,few_distinct,10000,92,185377581275,164772,68525,0.286551,19
QuickSort,det_last,few_distinct,10000,93,185377581276,154496,68617,0.296060,17
QuickSort,det_last,few_distinct,10000,94,185377581277,158283,68637,0.287011,19
QuickSort,det_last,few_distinct,10000,95,185377581278,153833,68572,0.305829,18
QuickSort,det_last,few_distinct,10000,96,185377581279,158705,68874,0.305809,18
QuickSort,det_last,few_distinct,10000,97,185377581280,155921,69024,0.362935,18
QuickSort,det_last,few_distinct,10000,98,185377581281,155430,68584,0.294437,20
QuickSort,det_last,few_distinct,10000,99,185377581282,155592,69015,0.294456,18
