algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,det_last,nearly_sorted,50000,0,266644902164,166991108,100050,88.649107,7486
QuickSort,det_last,nearly_sorted,50000,1,266644902165,110400332,100056,57.763742,7109
QuickSort,det_last,nearly_sorted,50000,2,266644902166,172095352,100042,79.842351,6954
QuickSort,det_last,nearly_sorted,50000,3,266644902167,149477178,100044,77.267480,6230
QuickSort,det_last,nearly_sorted,50000,4,266644902168,178782452,100044,93.636056,8306
QuickSort,det_last,nearly_sorted,50000,5,266644902169,154039069,100038,70.766691,6995
QuickSort,det_last,nearly_sorted,50000,6,266644902170,118545905,100030,60.153796,5973
QuickSort,det_last,nearly_sorted,50000,7,266644902171,177749674,100042,88.267660,8187
QuickSort,det_last,nearly_sorted,50000,8,266644902172,117849620,100038,58.387230,5935
QuickSort,det_last,nearly_sorted,50000,9,266644902173,223186982,100044,102.986523,7378
QuickSort,det_last,nearly_sorted,50000,10,266644902174,98376062,100050,45.560418,5333
QuickSort,det_last,nearly_sorted,50000,11,266644902175,175593984,100030,81.768670,8126
QuickSort,det_last,nearly_sorted,50000,12,266644902176,168939036,100044,71.657872,7136
QuickSort,det_last,nearly_sorted,50000,13,266644902177,196657675,100052,88.360581,7181
QuickSort,det_last,nearly_sorted,50000,14,266644902178,130227775,100046,64.921871,6790
QuickSort,det_last,nearly_sorted,50000,15,266644902179,211438085,100056,110.838544,8444
QuickSort,det_last,nearly_sorted,50000,16,266644902180,150172815,100052,71.197446,6103
QuickSort,det_last,nearly_sorted,50000,17,266644902181,166208098,100044,78.739239,9931
QuickSort,det_last,nearly_sorted,50000,18,266644902182,112451449,100042,51.595823,5657
QuickSort,det_last,nearly_sorted,50000,19,266644902183,142239806,100044,69.674941,6216
QuickSort,det_last,nearly_sorted,50000,20,266644902184,128722702,100036,68.942711,5293
QuickSort,det_last,nearly_sorted,50000,21,266644902185,196365448,100026,98.395143,7753
QuickSort,det_last,nearly_sorted,50000,22,266644902186,221844493,100036,105.839963,7986
QuickSort,det_last,nearly_sorted,50000,23,266644902187,120081607,100040,58.141727,6217
QuickSort,det_last,nearly_sorted,50000,24,266644902188,180342995,100050,84.896789,7550
QuickSort,det_last,nearly_sorted,50000,25,266644902189,271700736,100036,116.994843,9473
QuickSort,det_last,nearly_sorted,50000,26,266644902190,141889659,100044,61.822018,4968
QuickSort,det_last,nearly_sorted,50000,27,266644902191,303866110,100034,131.082053,11697
QuickSort,det_last,nearly_sorted,50000,28,266644902192,136985390,100064,59.362837,6555
QuickSort,det_last,nearly_sorted,50000,29,266644902193,135459353,100048,61.739722,5493
