algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,det_last,random,50000,0,185846199862,1253548,228201,5.160634,42
QuickSort,det_last,random,50000,1,185846199863,1217942,229158,4.724341,40
QuickSort,det_last,random,50000,2,185846199864,1299176,226552,4.458342,44
QuickSort,det_last,random,50000,3,185846199865,1219454,228855,4.440274,41
QuickSort,det_last,random,50000,4,185846199866,1279345,225576,4.486267,42
QuickSort,det_last,random,50000,5,185846199867,1195629,229809,4.522531,37
QuickSort,det_last,random,50000,6,185846199868,1258926,227144,4.383759,43
QuickSort,det_last,random,50000,7,185846199869,1218715,229475,5.034708,41
QuickSort,det_last,random,50000,8,185846199870,1234506,228205,5.316228,43
QuickSort,det_last,random,50000,9,185846199871,1288746,225760,4.414461,42
QuickSort,det_last,random,50000,10,185846199872,1288180,227827,4.485305,41
QuickSort,det_last,random,50000,11,185846199873,1252951,228754,4.612222,40
QuickSort,det_last,random,50000,12,185846199874,1347219,225397,4.420624,44
QuickSort,det_last,random,50000,13,185846199875,1262947,226674,4.430765,43
QuickSort,det_last,random,50000,14,185846199876,1273041,228253,4.763500,44
QuickSort,det_last,random,50000,15,185846199877,1228688,228802,4.822981,39
QuickSort,det_last,random,50000,16,185846199878,1350446,224789,4.451539,42
QuickSort,det_last,random,50000,17,185846199879,1230423,227395,4.932652,40
QuickSort,det_last,random,50000,18,185846199880,1276094,226136,4.886759,43
QuickSort,det_last,random,50000,19,185846199881,1272839,229473,4.561480,41
QuickSort,det_last,random,50000,20,185846199882,1235043,228515,9.043167,40
QuickSort,det_last,random,50000,21,185846199883,1307406,225763,4.817297,43
QuickSort,det_last,random,50000,22,185846199884,1316007,225112,5.329726,44
QuickSort,det_last,random,50000,23,185846199885,1254328,227623,5.529190,41
QuickSort,det_last,random,50000,24,185846199886,1265000,226993,5.724501,43
QuickSort,det_last,random,50000,25,185846199887,1239554,227793,5.083391,43
QuickSort,det_last,random,50000,26,185846199888,1221349,228606,5.004341,39
QuickSort,det_last,random,50000,27,185846199889,1243635,228804,4.554819,39
QuickSort,det_last,random,50000,28,185846199890,1292257,228275,5.726723,43
QuickSort,det_last,random,50000,29,185846199891,1255033,227906,5.189924,41
