algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,det_last,reverse,5000,0,171001160752,12509997,7498,11.121954,4998
QuickSort,det_last,reverse,5000,1,171001160753,12509997,7498,11.480344,4998
QuickSort,det_last,reverse,5000,2,171001160754,12509997,7498,6.843996,4998
QuickSort,det_last,reverse,5000,3,171001160755,12509997,7498,8.266231,4998
QuickSort,det_last,reverse,5000,4,171001160756,12509997,7498,7.473935,4998
QuickSort,det_last,reverse,5000,5,171001160757,12509997,7498,7.760006,4998
QuickSort,det_last,reverse,5000,6,171001160758,12509997,7498,6.329224,4998
QuickSort,det_last,reverse,5000,7,171001160759,12509997,7498,8.710862,4998
QuickSort,det_last,reverse,5000,8,171001160760,12509997,7498,9.494622,4998
QuickSort,det_last,reverse,5000,9,171001160761,12509997,7498,9.299298,4998
QuickSort,det_last,reverse,5000,10,171001160762,12509997,7498,7.725858,4998
QuickSort,det_last,reverse,5000,11,171001160763,12509997,7498,7.122095,4998
QuickSort,det_last,reverse,5000,12,171001160764,12509997,7498,6.929007,4998
QuickSort,det_last,reverse,5000,13,171001160765,12509997,7498,6.914138,4998
QuickSort,det_last,reverse,5000,14,171001160766,12509997,7498,6.588381,4998
QuickSort,det_last,reverse,5000,15,171001160767,12509997,7498,7.267282,4998
QuickSort,det_last,reverse,5000,16,171001160768,12509997,7498,6.615607,4998
QuickSort,det_last,reverse,5000,17,171001160769,12509997,7498,8.062378,4998
QuickSort,det_last,reverse,5000,18,171001160770,12509997,7498,6.463377,4998
QuickSort,det_last,reverse,5000,19,171001160771,12509997,7498,6.618355,4998
QuickSort,det_last,reverse,5000,20,171001160772,12509997,7498,6.167025,4998
QuickSort,det_last,reverse,5000,21,171001160773,12509997,7498,6.874365,4998
QuickSort,det_last,reverse,5000,22,171001160774,12509997,7498,6.630664,4998
QuickSort,det_last,reverse,5000,23,171001160775,12509997,7498,6.193456,4998
QuickSort,det_last,reverse,5000,24,171001160776,12509997,7498,7.552240,4998
QuickSort,det_last,reverse,5000,25,171001160777,12509997,7498,6.662766,4998
QuickSort,det_last,reverse,5000,26,171001160778,12509997,7498,6.705430,4998
QuickSort,det_last,reverse,5000,27,171001160779,12509997,7498,6.344803,4998
QuickSort,det_last,reverse,5000,28,171001160780,12509997,7498,6.178799,4998
QuickSort,det_last,reverse,5000,29,171001160781,12509997,7498,7.988940,4998
QuickSort,det_last,reverse,5000,30,171001160782,12509997,7498,7.117290,4998
QuickSort,det_last,reverse,5000,31,171001160783,12509997,7498,9.175377,4998
QuickSort,det_last,reverse,5000,32,171001160784,12509997,7498,9.346257,4998
QuickSort,det_last,reverse,5000,33,171001160785,12509997,7498,8.496135,4998
QuickSort,det_last,reverse,5000,34,171001160786,12509997,7498,7.525465,4998
QuickSort,det_last,reverse,5000,35,171001160787,12509997,7498,6.695120,4998
QuickSort,det_last,reverse,5000,36,171001160788,12509997,7498,8.176700,4998
QuickSort,det_last,reverse,5000,37,171001160789,12509997,7498,6.576995,4998
QuickSort,det_last,reverse,5000,38,171001160790,12509997,7498,6.531793,4998
QuickSort,det_last,reverse,5000,39,171001160791,12509997,7498,8.855528,4998
QuickSort,det_last,reverse,5000,40,171001160792,12509997,7498,7.591505,4998
QuickSort,det_last,reverse,5000,41,171001160793,12509997,7498,8.112305,4998
QuickSort,det_last,reverse,5000,42,171001160794,12509997,7498,7.187650,4998
QuickSort,det_last,reverse,5000,43,171001160795,12509997,7498,7.326000,4998
QuickSort,det_last,reverse,5000,44,171001160796,12509997,7498,6.489200,4998
QuickSort,det_last,reverse,5000,45,171001160797,12509997,7498,6.831999,4998
QuickSort,det_last,reverse,5000,46,171001160798,12509997,7498,6.276297,4998
QuickSort,det_last,reverse,5000,47,171001160799,12509997,7498,8.587463,4998
QuickSort,det_last,reverse,5000,48,171001160800,12509997,7498,6.870290,4998
QuickSort,det_last,reverse,5000,49,171001160801,12509997,7498,6.920658,4998
QuickSort,det_last,reverse,5000,50,171001160802,12509997,7498,7.357536,4998
QuickSort,det_last,reverse,5000,51,171001160803,12509997,7498,7.258976,4998
QuickSort,det_last,reverse,5000,52,171001160804,12509997,7498,6.320680,4998
QuickSort,det_last,reverse,5000,53,171001160805,12509997,7498,6.454861,4998
QuickSort,det_last,reverse,5000,54,171001160806,12509997,7498,7.789056,4998
QuickSort,det_last,reverse,5000,55,171001160807,12509997,7498,6.734943,4998
QuickSort,det_last,reverse,5000,56,171001160808,12509997,7498,7.006389,4998
QuickSort,det_last,reverse,5000,57,171001160809,12509997,7498,6.233813,4998
QuickSort,det_last,reverse,5000,58,171001160810,12509997,7498,6.608595,4998
QuickSort,det_last,reverse,5000,59,171001160811,12509997,7498,6.616523,4998
QuickSort,det_last,reverse,5000,60,171001160812,12509997,7498,9.568859,4998
QuickSort,det_last,reverse,5000,61,171001160813,12509997,7498,6.971318,4998
QuickSort,det_last,reverse,5000,62,171001160814,12509997,7498,7.051873,4998
QuickSort,det_last,reverse,5000,63,171001160815,12509997,7498,6.970916,4998
QuickSort,det_last,reverse,5000,64,171001160816,12509997,7498,6.200086,4998
QuickSort,det_last,reverse,5000,65,171001160817,12509997,7498,6.736599,4998
QuickSort,det_last,reverse,5000,66,171001160818,12509997,7498,6.204882,4998
QuickSort,det_last,reverse,5000,67,171001160819,12509997,7498,7.063490,4998
QuickSort,det_last,reverse,5000,68,171001160820,12509997,7498,6.068374,4998
QuickSort,det_last,reverse,5000,69,171001160821,12509997,7498,6.454941,4998
QuickSort,det_last,reverse,5000,70,171001160822,12509997,7498,6.569180,4998
QuickSort,det_last,reverse,5000,71,171001160823,12509997,7498,6.254609,4998
QuickSort,det_last,reverse,5000,72,171001160824,12509997,7498,6.394069,4998
QuickSort,det_last,reverse,5000,73,171001160825,12509997,7498,6.115490,4998
QuickSort,det_last,reverse,5000,74,171001160826,12509997,7498,6.429771,4998
QuickSort,det_last,reverse,5000,75,171001160827,12509997,7498,6.272976,4998
QuickSort,det_last,reverse,5000,76,171001160828,12509997,7498,6.280862,4998
QuickSort,det_last,reverse,5000,77,171001160829,12509997,7498,6.404193,4998
QuickSort,det_last,reverse,5000,78,171001160830,12509997,7498,6.291005,4998
QuickSort,det_last,reverse,5000,79,171001160831,12509997,7498,9.756690,4998
QuickSort,det_last,reverse,5000,80,171001160832,12509997,7498,10.136707,4998
QuickSort,det_last,reverse,5000,81,171001160833,12509997,7498,9.866135,4998
QuickSort,det_last,reverse,5000,82,171001160834,12509997,7498,7.980992,4998
QuickSort,det_last,reverse,5000,83,171001160835,12509997,7498,9.905183,4998
QuickSort,det_last,reverse,5000,84,171001160836,12509997,7498,8.400363,4998
QuickSort,det_last,reverse,5000,85,171001160837,12509997,7498,6.355748,4998
QuickSort,det_last,reverse,5000,86,171001160838,12509997,7498,7.326719,4998
QuickSort,det_last,reverse,5000,87,171001160839,12509997,7498,6.524349,4998
QuickSort,det_last,reverse,5000,88,171001160840,12509997,7498,7.198495,4998
QuickSort,det_last,reverse,5000,89,171001160841,12509997,7498,7.654302,4998
QuickSort,det_last,reverse,5000,90,171001160842,12509997,7498,7.380659,4998
QuickSort,det_last,reverse,5000,91,171001160843,12509997,7498,6.810995,4998
QuickSort,det_last,reverse,5000,92,171001160844,12509997,7498,6.652724,4998
QuickSort,det_last,reverse,5000,93,171001160845,12509997,7498,8.619113,4998
QuickSort,det_last,reverse,5000,94,171001160846,12509997,7498,6.787409,4998
QuickSort,det_last,reverse,5000,95,171001160847,12509997,7498,6.983195,4998
QuickSort,det_last,reverse,5000,96,171001160848,12509997,7498,6.527077,4998
QuickSort,det_last,reverse,5000,97,171001160849,12509997,7498,6.522132,4998
QuickSort,det_last,reverse,5000,98,171001160850,12509997,7498,6.825580,4998
QuickSort,det_last,reverse,5000,99,171001160851,12509997,7498,9.072245,4998
QuickSort,det_last,reverse,5000,100,171001160852,12509997,7498,8.330364,4998
QuickSort,det_last,reverse,5000,101,171001160853,12509997,7498,7.930382,4998
QuickSort,det_last,reverse,5000,102,171001160854,12509997,7498,6.967005,4998
QuickSort,det_last,reverse,5000,103,171001160855,12509997,7498,7.629362,4998
QuickSort,det_last,reverse,5000,104,171001160856,12509997,7498,7.614476,4998
QuickSort,det_last,reverse,5000,105,171001160857,12509997,7498,7.681526,4998
QuickSort,det_last,reverse,5000,106,171001160858,12509997,7498,7.875047,4998
QuickSort,det_last,reverse,5000,107,171001160859,12509997,7498,7.746255,4998
QuickSort,det_last,reverse,5000,108,171001160860,12509997,7498,9.927547,4998
QuickSort,det_last,reverse,5000,109,171001160861,12509997,7498,8.532701,4998
QuickSort,det_last,reverse,5000,110,171001160862,12509997,7498,11.189206,4998
QuickSort,det_last,reverse,5000,111,171001160863,12509997,7498,6.836965,4998
QuickSort,det_last,reverse,5000,112,171001160864,12509997,7498,8.347227,4998
QuickSort,det_last,reverse,5000,113,171001160865,12509997,7498,6.838956,4998
QuickSort,det_last,reverse,5000,114,171001160866,12509997,7498,6.666169,4998
QuickSort,det_last,reverse,5000,115,171001160867,12509997,7498,6.597840,4998
QuickSort,det_last,reverse,5000,116,171001160868,12509997,7498,6.444063,4998
QuickSort,det_last,reverse,5000,117,171001160869,12509997,7498,6.754639,4998
QuickSort,det_last,reverse,5000,118,171001160870,12509997,7498,7.132335,4998
QuickSort,det_last,reverse,5000,119,171001160871,12509997,7498,7.594836,4998
QuickSort,det_last,reverse,5000,120,171001160872,12509997,7498,6.107401,4998
QuickSort,det_last,reverse,5000,121,171001160873,12509997,7498,6.735617,4998
QuickSort,det_last,reverse,5000,122,171001160874,12509997,7498,6.635259,4998
