algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,det_last,sorted,1000,0,165459296519,502497,1998,0.299450,998
QuickSort,det_last,sorted,1000,1,165459296520,502497,1998,0.456462,998
QuickSort,det_last,sorted,1000,2,165459296521,502497,1998,0.418457,998
QuickSort,det_last,sorted,1000,3,165459296522,502497,1998,0.227013,998
QuickSort,det_last,sorted,1000,4,165459296523,502497,1998,0.226912,998
QuickSort,det_last,sorted,1000,5,165459296524,502497,1998,0.308850,998
QuickSort,det_last,sorted,1000,6,165459296525,502497,1998,0.409911,998
QuickSort,det_last,sorted,1000,7,165459296526,502497,1998,0.238567,998
QuickSort,det_last,sorted,1000,8,165459296527,502497,1998,0.226933,998
QuickSort,det_last,sorted,1000,9,165459296528,502497,1998,0.226731,998
QuickSort,det_last,sorted,1000,10,165459296529,502497,1998,0.226661,998
QuickSort,det_last,sorted,1000,11,165459296530,502497,1998,0.226762,998
QuickSort,det_last,sorted,1000,12,165459296531,502497,1998,0.237732,998
QuickSort,det_last,sorted,1000,13,165459296532,502497,1998,0.226399,998
QuickSort,det_last,sorted,1000,14,165459296533,502497,1998,0.226389,998
QuickSort,det_last,sorted,1000,15,165459296534,502497,1998,0.346462,998
QuickSort,det_last,sorted,1000,16,165459296535,502497,1998,0.341249,998
QuickSort,det_last,sorted,1000,17,165459296536,502497,1998,0.384236,998
QuickSort,det_last,sorted,1000,18,165459296537,502497,1998,0.272164,998
QuickSort,det_last,sorted,1000,19,165459296538,502497,1998,0.296289,998
QuickSort,det_last,sorted,1000,20,165459296539,502497,1998,0.282682,998
QuickSort,det_last,sorted,1000,21,165459296540,502497,1998,0.225282,998
QuickSort,det_last,sorted,1000,22,165459296541,502497,1998,0.225262,998
QuickSort,det_last,sorted,1000,23,165459296542,502497,1998,0.278887,998
QuickSort,det_last,sorted,1000,24,165459296543,502497,1998,0.302157,998
QuickSort,det_last,sorted,1000,25,165459296544,502497,1998,0.354586,998
QuickSort,det_last,sorted,1000,26,165459296545,502497,1998,0.364439,998
QuickSort,det_last,sorted,1000,27,165459296546,502497,1998,0.280890,998
QuickSort,det_last,sorted,1000,28,165459296547,502497,1998,0.306455,998
QuickSort,det_last,sorted,1000,29,165459296548,502497,1998,0.247686,998
QuickSort,det_last,sorted,1000,30,165459296549,502497,1998,0.299048,998
QuickSort,det_last,sorted,1000,31,165459296550,502497,1998,0.225242,998
QuickSort,det_last,sorted,1000,32,165459296551,502497,1998,0.315031,998
QuickSort,det_last,sorted,1000,33,165459296552,502497,1998,0.236876,998
QuickSort,det_last,sorted,1000,34,165459296553,502497,1998,0.336327,998
QuickSort,det_last,sorted,1000,35,165459296554,502497,1998,0.225312,998
QuickSort,det_last,sorted,1000,36,165459296555,502497,1998,0.350600,998
QuickSort,det_last,sorted,1000,37,165459296556,502497,1998,0.295454,998
QuickSort,det_last,sorted,1000,38,165459296557,502497,1998,0.233414,998
QuickSort,det_last,sorted,1000,39,165459296558,502497,1998,0.326444,998
QuickSort,det_last,sorted,1000,40,165459296559,502497,1998,0.233132,998
QuickSort,det_last,sorted,1000,41,165459296560,502497,1998,0.342739,998
QuickSort,det_last,sorted,1000,42,165459296561,502497,1998,0.225292,998
QuickSort,det_last,sorted,1000,43,165459296562,502497,1998,0.231522,998
QuickSort,det_last,sorted,1000,44,165459296563,502497,1998,0.272869,998
QuickSort,det_last,sorted,1000,45,165459296564,502497,1998,0.339810,998
QuickSort,det_last,sorted,1000,46,165459296565,502497,1998,0.245472,998
QuickSort,det_last,sorted,1000,47,165459296566,502497,1998,0.232770,998
QuickSort,det_last,sorted,1000,48,165459296567,502497,1998,0.225272,998
QuickSort,det_last,sorted,1000,49,165459296568,502497,1998,0.272345,998
QuickSort,det_last,sorted,1000,50,165459296569,502497,1998,0.225282,998
QuickSort,det_last,sorted,1000,51,165459296570,502497,1998,0.234783,998
QuickSort,det_last,sorted,1000,52,165459296571,502497,1998,0.225332,998
QuickSort,det_last,sorted,1000,53,165459296572,502497,1998,0.225302,998
QuickSort,det_last,sorted,1000,54,165459296573,502497,1998,0.225302,998
QuickSort,det_last,sorted,1000,55,165459296574,502497,1998,0.232378,998
QuickSort,det_last,sorted,1000,56,165459296575,502497,1998,0.225272,998
QuickSort,det_last,sorted,1000,57,165459296576,502497,1998,0.237088,998
QuickSort,det_last,sorted,1000,58,165459296577,502497,1998,0.225241,998
QuickSort,det_last,sorted,1000,59,165459296578,502497,1998,0.225161,998
QuickSort,det_last,sorted,1000,60,165459296579,502497,1998,0.234592,998
QuickSort,det_last,sorted,1000,61,165459296580,502497,1998,0.225302,998
QuickSort,det_last,sorted,1000,62,165459296581,502497,1998,0.232922,998
QuickSort,det_last,sorted,1000,63,165459296582,502497,1998,0.225352,998
QuickSort,det_last,sorted,1000,64,165459296583,502497,1998,0.523907,998
QuickSort,det_last,sorted,1000,65,165459296584,502497,1998,0.869253,998
QuickSort,det_last,sorted,1000,66,165459296585,502497,1998,0.485066,998
QuickSort,det_last,sorted,1000,67,165459296586,502497,1998,0.227939,998
QuickSort,det_last,sorted,1000,68,165459296587,502497,1998,0.226963,998
QuickSort,det_last,sorted,1000,69,165459296588,502497,1998,0.226369,998
QuickSort,det_last,sorted,1000,70,165459296589,502497,1998,0.293008,998
QuickSort,det_last,sorted,1000,71,165459296590,502497,1998,0.335784,998
QuickSort,det_last,sorted,1000,72,165459296591,502497,1998,0.295475,998
QuickSort,det_last,sorted,1000,73,165459296592,502497,1998,0.225553,998
QuickSort,det_last,sorted,1000,74,165459296593,502497,1998,0.225433,998
QuickSort,det_last,sorted,1000,75,165459296594,502497,1998,0.225352,998
QuickSort,det_last,sorted,1000,76,165459296595,502497,1998,0.234662,998
QuickSort,det_last,sorted,1000,77,165459296596,502497,1998,0.239927,998
QuickSort,det_last,sorted,1000,78,165459296597,502497,1998,0.225353,998
QuickSort,det_last,sorted,1000,79,165459296598,502497,1998,0.225182,998
QuickSort,det_last,sorted,1000,80,165459296599,502497,1998,0.228996,998
QuickSort,det_last,sorted,1000,81,165459296600,502497,1998,0.308911,998
QuickSort,det_last,sorted,1000,82,165459296601,502497,1998,0.225383,998
QuickSort,det_last,sorted,1000,83,165459296602,502497,1998,0.232690,998
QuickSort,det_last,sorted,1000,84,165459296603,502497,1998,0.230083,998
QuickSort,det_last,sorted,1000,85,165459296604,502497,1998,0.237994,998
