algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,det_med3,few_distinct,5000,0,173143822694,72091,29769,0.153758,16
QuickSort,det_med3,few_distinct,5000,1,173143822695,74138,29598,0.147798,17
QuickSort,det_med3,few_distinct,5000,2,173143822696,72065,29764,0.172242,16
QuickSort,det_med3,few_distinct,5000,3,173143822697,74577,29721,0.150174,18
QuickSort,det_med3,few_distinct,5000,4,173143822698,71569,29815,0.153758,16
QuickSort,det_med3,few_distinct,5000,5,173143822699,70967,29850,0.152075,16
QuickSort,det_med3,few_distinct,5000,6,173143822700,72544,29728,0.150768,18
QuickSort,det_med3,few_distinct,5000,7,173143822701,72845,29830,0.148926,17
QuickSort,det_med3,few_distinct,5000,8,173143822702,75702,29594,0.144808,18
QuickSort,det_med3,few_distinct,5000,9,173143822703,73462,29601,0.146045,17
QuickSort,det_med3,few_distinct,5000,10,173143822704,73564,29678,0.146521,17
QuickSort,det_med3,few_distinct,5000,11,173143822705,73373,29675,0.152312,18
QuickSort,det_med3,few_distinct,5000,12,173143822706,71675,29754,0.151926,17
QuickSort,det_med3,few_distinct,5000,13,173143822707,72968,29778,0.164639,16
QuickSort,det_med3,few_distinct,5000,14,173143822708,72084,29697,0.150263,16
QuickSort,det_med3,few_distinct,5000,15,173143822709,72228,29696,0.150679,17
QuickSort,det_med3,few_distinct,5000,16,173143822710,73190,29795,0.147332,17
QuickSort,det_med3,few_distinct,5000,17,173143822711,74008,29588,0.145392,17
QuickSort,det_med3,few_distinct,5000,18,173143822712,71285,29863,0.153797,15
QuickSort,det_med3,few_distinct,5000,19,173143822713,73602,29693,0.148481,18
QuickSort,det_med3,few_distinct,5000,20,173143822714,76128,29648,0.186648,19
QuickSort,det_med3,few_distinct,5000,21,173143822715,74079,29702,0.154362,17
QuickSort,det_med3,few_distinct,5000,22,173143822716,72673,29663,0.151877,16
QuickSort,det_med3,few_distinct,5000,23,173143822717,71930,29774,0.153095,16
QuickSort,det_med3,few_distinct,5000,24,173143822718,72390,29735,0.219944,17
QuickSort,det_med3,few_distinct,5000,25,173143822719,71195,29832,0.153421,17
QuickSort,det_med3,few_distinct,5000,26,173143822720,73333,29725,0.149194,17
QuickSort,det_med3,few_distinct,5000,27,173143822721,74144,29753,0.144224,17
QuickSort,det_med3,few_distinct,5000,28,173143822722,71810,29816,0.155906,17
QuickSort,det_med3,few_distinct,5000,29,173143822723,74205,29631,0.146095,18
