algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,det_med3,nearly_sorted,5000,0,172940478334,73773,6728,0.105335,16
QuickSort,det_med3,nearly_sorted,5000,1,172940478335,75400,6726,0.112704,16
QuickSort,det_med3,nearly_sorted,5000,2,172940478336,73254,6732,0.095125,17
QuickSort,det_med3,nearly_sorted,5000,3,172940478337,75123,6754,0.096531,17
QuickSort,det_med3,nearly_sorted,5000,4,172940478338,75286,6720,0.093541,16
QuickSort,det_med3,nearly_sorted,5000,5,172940478339,73772,6716,0.091302,16
QuickSort,det_med3,nearly_sorted,5000,6,172940478340,74475,6734,0.094699,16
QuickSort,det_med3,nearly_sorted,5000,7,172940478341,73430,6728,0.092401,16
QuickSort,det_med3,nearly_sorted,5000,8,172940478342,72404,6762,0.091926,15
QuickSort,det_med3,nearly_sorted,5000,9,172940478343,74495,6738,0.092500,17
QuickSort,det_med3,nearly_sorted,5000,10,172940478344,76119,6726,0.092085,17
QuickSort,det_med3,nearly_sorted,5000,11,172940478345,73072,6750,0.090401,15
QuickSort,det_med3,nearly_sorted,5000,12,172940478346,73736,6746,0.091054,16
QuickSort,det_med3,nearly_sorted,5000,13,172940478347,72997,6746,0.093630,16
QuickSort,det_med3,nearly_sorted,5000,14,172940478348,76386,6738,0.095541,17
QuickSort,det_med3,nearly_sorted,5000,15,172940478349,72006,6756,0.093946,15
QuickSort,det_med3,nearly_sorted,5000,16,172940478350,73418,6734,0.090589,15
QuickSort,det_med3,nearly_sorted,5000,17,172940478351,73801,6750,0.091252,15
QuickSort,det_med3,nearly_sorted,5000,18,172940478352,74069,6730,0.091965,16
QuickSort,det_med3,nearly_sorted,5000,19,172940478353,74433,6722,0.091312,16
QuickSort,det_med3,nearly_sorted,5000,20,172940478354,73503,6740,0.090836,17
QuickSort,det_med3,nearly_sorted,5000,21,172940478355,74270,6724,0.090619,17
QuickSort,det_med3,nearly_sorted,5000,22,172940478356,74572,6722,0.103959,16
QuickSort,det_med3,nearly_sorted,5000,23,172940478357,72541,6726,0.089331,15
QuickSort,det_med3,nearly_sorted,5000,24,172940478358,75359,6752,0.091282,17
QuickSort,det_med3,nearly_sorted,5000,25,172940478359,73947,6746,0.093877,16
QuickSort,det_med3,nearly_sorted,5000,26,172940478360,72609,6730,0.089529,15
QuickSort,det_med3,nearly_sorted,5000,27,172940478361,74767,6726,0.090926,17
QuickSort,det_med3,nearly_sorted,5000,28,172940478362,74179,6734,0.091540,16
QuickSort,det_med3,nearly_sorted,5000,29,172940478363,73802,6764,0.091233,16
QuickSort,det_med3,nearly_sorted,5000,30,172940478364,75581,6718,0.090094,17
QuickSort,det_med3,nearly_sorted,5000,31,172940478365,72406,6752,0.089707,15
QuickSort,det_med3,nearly_sorted,5000,32,172940478366,79142,6736,0.093104,17
QuickSort,det_med3,nearly_sorted,5000,33,172940478367,73779,6722,0.090668,15
QuickSort,det_med3,nearly_sorted,5000,34,172940478368,76031,6735,0.091420,16
QuickSort,det_med3,nearly_sorted,5000,35,172940478369,74779,6724,0.090876,16
QuickSort,det_med3,nearly_sorted,5000,36,172940478370,74819,6724,0.091837,16
QuickSort,det_med3,nearly_sorted,5000,37,172940478371,74343,6734,0.090658,16
QuickSort,det_med3,nearly_sorted,5000,38,172940478372,72641,6754,0.089598,15
QuickSort,det_med3,nearly_sorted,5000,39,172940478373,72803,6746,0.089916,15
QuickSort,det_med3,nearly_sorted,5000,40,172940478374,75119,6720,0.091946,18
QuickSort,det_med3,nearly_sorted,5000,41,172940478375,76705,6738,0.091411,16
QuickSort,det_med3,nearly_sorted,5000,42,172940478376,73145,6744,0.089598,15
QuickSort,det_med3,nearly_sorted,5000,43,172940478377,75754,6738,0.208334,16
QuickSort,det_med3,nearly_sorted,5000,44,172940478378,72964,6738,0.173205,15
QuickSort,det_med3,nearly_sorted,5000,45,172940478379,73338,6748,0.168104,15
QuickSort,det_med3,nearly_sorted,5000,46,172940478380,74107,6762,0.166609,15
QuickSort,det_med3,nearly_sorted,5000,47,172940478381,74119,6720,0.169571,16
