algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,det_med3,random,5000,0,166345946037,83733,17847,0.427206,26
QuickSort,det_med3,random,5000,1,166345946038,83705,17821,0.382902,25
QuickSort,det_med3,random,5000,2,166345946039,86275,17753,0.386684,27
QuickSort,det_med3,random,5000,3,166345946040,85701,17782,0.407271,25
QuickSort,det_med3,random,5000,4,166345946041,83688,17804,0.405411,25
QuickSort,det_med3,random,5000,5,166345946042,86419,17751,0.409866,27
QuickSort,det_med3,random,5000,6,166345946043,81712,17990,0.405994,24
QuickSort,det_med3,random,5000,7,166345946044,82836,17842,0.414211,23
QuickSort,det_med3,random,5000,8,166345946045,89069,17588,0.466450,27
QuickSort,det_med3,random,5000,9,166345946046,84758,17837,0.455365,26
QuickSort,det_med3,random,5000,10,166345946047,88617,17708,0.403078,26
QuickSort,det_med3,random,5000,11,166345946048,86848,17741,0.412773,26
QuickSort,det_med3,random,5000,12,166345946049,87432,17665,0.435452,24
QuickSort,det_med3,random,5000,13,166345946050,86056,17802,0.417530,27
QuickSort,det_med3,random,5000,14,166345946051,82414,17910,0.407955,23
QuickSort,det_med3,random,5000,15,166345946052,87227,17580,0.490637,28
QuickSort,det_med3,random,5000,16,166345946053,86174,17697,0.366096,28
QuickSort,det_med3,random,5000,17,166345946054,82162,17921,0.391824,23
QuickSort,det_med3,random,5000,18,166345946055,84361,17861,0.399327,25
QuickSort,det_med3,random,5000,19,166345946056,85242,17637,0.569748,27
QuickSort,det_med3,random,5000,20,166345946057,84321,17915,0.427718,25
QuickSort,det_med3,random,5000,21,166345946058,83281,17844,0.420647,27
QuickSort,det_med3,random,5000,22,166345946059,85388,17856,0.440028,25
QuickSort,det_med3,random,5000,23,166345946060,85005,17835,0.637253,27
QuickSort,det_med3,random,5000,24,166345946061,88114,17540,0.389933,29
QuickSort,det_med3,random,5000,25,166345946062,88032,17797,0.424802,26
QuickSort,det_med3,random,5000,26,166345946063,84194,17828,0.532626,26
QuickSort,det_med3,random,5000,27,166345946064,85363,17762,0.444454,24
QuickSort,det_med3,random,5000,28,166345946065,82390,18038,0.444895,26
QuickSort,det_med3,random,5000,29,166345946066,87878,17681,0.365684,25
QuickSort,det_med3,random,5000,30,166345946067,85279,17773,0.507905,28
QuickSort,det_med3,random,5000,31,166345946068,88250,17739,0.397617,25
QuickSort,det_med3,random,5000,32,166345946069,84778,17722,0.455858,24
QuickSort,det_med3,random,5000,33,166345946070,85447,17895,0.383859,25
QuickSort,det_med3,random,5000,34,166345946071,85566,17740,0.366942,25
QuickSort,det_med3,random,5000,35,166345946072,86305,17743,0.364407,26
QuickSort,det_med3,random,5000,36,166345946073,82502,17975,0.367193,22
QuickSort,det_med3,random,5000,37,166345946074,84145,17920,0.380961,25
QuickSort,det_med3,random,5000,38,166345946075,82755,17843,0.363723,24
QuickSort,det_med3,random,5000,39,166345946076,87112,17810,0.400865,26
QuickSort,det_med3,random,5000,40,166345946077,84556,17920,0.447983,25
QuickSort,det_med3,random,5000,41,166345946078,84235,17837,0.469044,23
QuickSort,det_med3,random,5000,42,166345946079,82668,17790,0.416997,22
QuickSort,det_med3,random,5000,43,166345946080,84656,17789,0.408640,26
QuickSort,det_med3,random,5000,44,166345946081,84293,17695,0.396279,27
QuickSort,det_med3,random,5000,45,166345946082,84718,17793,0.369707,26
QuickSort,det_med3,random,5000,46,166345946083,82355,18011,0.434175,23
QuickSort,det_med3,random,5000,47,166345946084,85382,17761,0.391663,24
QuickSort,det_med3,random,5000,48,166345946085,90263,17663,0.387409,27
QuickSort,det_med3,random,5000,49,166345946086,86353,17640,0.381384,26
QuickSort,det_med3,random,5000,50,166345946087,86312,17796,0.418203,26
QuickSort,det_med3,random,5000,51,166345946088,89438,17631,0.417872,25
QuickSort,det_med3,random,5000,52,166345946089,81183,17929,0.391904,22
QuickSort,det_med3,random,5000,53,166345946090,84022,17988,0.532325,25
QuickSort,det_med3,random,5000,54,166345946091,92169,17411,0.396279,27
QuickSort,det_med3,random,5000,55,166345946092,82476,17979,0.439003,23
QuickSort,det_med3,random,5000,56,166345946093,83142,17725,0.417731,24
QuickSort,det_med3,random,5000,57,166345946094,84839,17733,0.415036,30
QuickSort,det_med3,random,5000,58,166345946095,87570,17546,0.409877,28
QuickSort,det_med3,random,5000,59,166345946096,86251,17718,0.417691,28
QuickSort,det_med3,random,5000,60,166345946097,83670,17768,0.437766,23
QuickSort,det_med3,random,5000,61,166345946098,89718,17678,0.407090,29
QuickSort,det_med3,random,5000,62,166345946099,83466,17858,0.407071,24
QuickSort,det_med3,random,5000,63,166345946100,90996,17614,0.434547,27
QuickSort,det_med3,random,5000,64,166345946101,82365,18022,0.432334,23
QuickSort,det_med3,random,5000,65,166345946102,86466,17789,0.410681,27
QuickSort,det_med3,random,5000,66,166345946103,86077,17637,0.383093,28
QuickSort,det_med3,random,5000,67,166345946104,84340,17926,0.389269,27
QuickSort,det_med3,random,5000,68,166345946105,87712,17614,0.402655,28
QuickSort,det_med3,random,5000,69,166345946106,88218,17488,0.367414,27
QuickSort,det_med3,random,5000,70,166345946107,83722,17862,0.371648,24
QuickSort,det_med3,random,5000,71,166345946108,84650,17787,0.428100,27
QuickSort,det_med3,random,5000,72,166345946109,84948,17815,0.369345,24
QuickSort,det_med3,random,5000,73,166345946110,85162,17870,0.364960,29
QuickSort,det_med3,random,5000,74,166345946111,88102,17625,0.378216,29
QuickSort,det_med3,random,5000,75,166345946112,84661,17785,0.412169,27
QuickSort,det_med3,random,5000,76,166345946113,82071,17870,0.530434,22
QuickSort,det_med3,random,5000,77,166345946114,86476,17769,0.429217,25
QuickSort,det_med3,random,5000,78,166345946115,86773,17677,0.377100,24
QuickSort,det_med3,random,5000,79,166345946116,83578,17842,1.955677,23
QuickSort,det_med3,random,5000,80,166345946117,85707,17712,0.512643,24
QuickSort,det_med3,random,5000,81,166345946118,87276,17803,0.429599,27
QuickSort,det_med3,random,5000,82,166345946119,84697,17744,0.632677,24
QuickSort,det_med3,random,5000,83,166345946120,90107,17641,0.381132,26
QuickSort,det_med3,random,5000,84,166345946121,89773,17740,0.380187,25
QuickSort,det_med3,random,5000,85,166345946122,84841,17799,0.392256,24
QuickSort,det_med3,random,5000,86,166345946123,83670,17828,0.381625,26
QuickSort,det_med3,random,5000,87,166345946124,81952,17927,0.434738,26
QuickSort,det_med3,random,5000,88,166345946125,83893,17832,0.396048,24
QuickSort,det_med3,random,5000,89,166345946126,81371,17855,0.404043,21
QuickSort,det_med3,random,5000,90,166345946127,83822,17828,0.391864,27
QuickSort,det_med3,random,5000,91,166345946128,83897,17788,0.400321,27
QuickSort,det_med3,random,5000,92,166345946129,83781,17915,0.453243,29
QuickSort,det_med3,random,5000,93,166345946130,89440,17719,0.363512,31
QuickSort,det_med3,random,5000,94,166345946131,85686,17816,0.368501,26
QuickSort,det_med3,random,5000,95,166345946132,90195,17671,0.507111,28
QuickSort,det_med3,random,5000,96,166345946133,84283,17757,0.399789,23
QuickSort,det_med3,random,5000,97,166345946134,85002,17820,0.370944,25
QuickSort,det_med3,random,5000,98,166345946135,84820,17728,0.363181,26
QuickSort,det_med3,random,5000,99,166345946136,82200,18041,0.396641,25
QuickSort,det_med3,random,5000,100,166345946137,83610,17864,0.378085,26
