algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,det_med3,reverse,50000,0,265136131277,873541,91666,1.168043,16
QuickSort,det_med3,reverse,50000,1,265136131278,873541,91666,1.449226,16
QuickSort,det_med3,reverse,50000,2,265136131279,873541,91666,1.427114,16
QuickSort,det_med3,reverse,50000,3,265136131280,873541,91666,3.315215,16
QuickSort,det_med3,reverse,50000,4,265136131281,873541,91666,1.303574,16
QuickSort,det_med3,reverse,50000,5,265136131282,873541,91666,0.949486,16
QuickSort,det_med3,reverse,50000,6,265136131283,873541,91666,0.901917,16
QuickSort,det_med3,reverse,50000,7,265136131284,873541,91666,0.914360,16
QuickSort,det_med3,reverse,50000,8,265136131285,873541,91666,0.907858,16
QuickSort,det_med3,reverse,50000,9,265136131286,873541,91666,0.913489,16
QuickSort,det_med3,reverse,50000,10,265136131287,873541,91666,1.087532,16
QuickSort,det_med3,reverse,50000,11,265136131288,873541,91666,1.037810,16
QuickSort,det_med3,reverse,50000,12,265136131289,873541,91666,1.193960,16
QuickSort,det_med3,reverse,50000,13,265136131290,873541,91666,1.331015,16
QuickSort,det_med3,reverse,50000,14,265136131291,873541,91666,0.974813,16
QuickSort,det_med3,reverse,50000,15,265136131292,873541,91666,0.919780,16
QuickSort,det_med3,reverse,50000,16,265136131293,873541,91666,1.314584,16
QuickSort,det_med3,reverse,50000,17,265136131294,873541,91666,1.465916,16
QuickSort,det_med3,reverse,50000,18,265136131295,873541,91666,1.443524,16
QuickSort,det_med3,reverse,50000,19,265136131296,873541,91666,1.483729,16
QuickSort,det_med3,reverse,50000,20,265136131297,873541,91666,1.398190,16
QuickSort,det_med3,reverse,50000,21,265136131298,873541,91666,1.378534,16
QuickSort,det_med3,reverse,50000,22,265136131299,873541,91666,1.305388,16
QuickSort,det_med3,reverse,50000,23,265136131300,873541,91666,0.921043,16
QuickSort,det_med3,reverse,50000,24,265136131301,873541,91666,0.959074,16
QuickSort,det_med3,reverse,50000,25,265136131302,873541,91666,1.285840,16
QuickSort,det_med3,reverse,50000,26,265136131303,873541,91666,1.509968,16
QuickSort,det_med3,reverse,50000,27,265136131304,873541,91666,1.484060,16
QuickSort,det_med3,reverse,50000,28,265136131305,873541,91666,1.492996,16
QuickSort,det_med3,reverse,50000,29,265136131306,873541,91666,1.562736,16
