algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,det_med3,sorted,5000,0,169448371843,70821,6664,0.088683,13
QuickSort,det_med3,sorted,5000,1,169448371844,70821,6664,0.083602,13
QuickSort,det_med3,sorted,5000,2,169448371845,70821,6664,0.082819,13
QuickSort,det_med3,sorted,5000,3,169448371846,70821,6664,0.082688,13
QuickSort,det_med3,sorted,5000,4,169448371847,70821,6664,0.082337,13
QuickSort,det_med3,sorted,5000,5,169448371848,70821,6664,0.094305,13
QuickSort,det_med3,sorted,5000,6,169448371849,70821,6664,0.110127,13
QuickSort,det_med3,sorted,5000,7,169448371850,70821,6664,0.111594,13
QuickSort,det_med3,sorted,5000,8,169448371851,70821,6664,0.107939,13
QuickSort,det_med3,sorted,5000,9,169448371852,70821,6664,0.110730,13
QuickSort,det_med3,sorted,5000,10,169448371853,70821,6664,0.100620,13
QuickSort,det_med3,sorted,5000,11,169448371854,70821,6664,0.104275,13
QuickSort,det_med3,sorted,5000,12,169448371855,70821,6664,0.105660,13
QuickSort,det_med3,sorted,5000,13,169448371856,70821,6664,0.116433,13
QuickSort,det_med3,sorted,5000,14,169448371857,70821,6664,0.111564,13
QuickSort,det_med3,sorted,5000,15,169448371858,70821,6664,0.269010,13
QuickSort,det_med3,sorted,5000,16,169448371859,70821,6664,0.111322,13
QuickSort,det_med3,sorted,5000,17,169448371860,70821,6664,0.111604,13
QuickSort,det_med3,sorted,5000,18,169448371861,70821,6664,0.107547,13
QuickSort,det_med3,sorted,5000,19,169448371862,70821,6664,0.109265,13
QuickSort,det_med3,sorted,5000,20,169448371863,70821,6664,0.109716,13
QuickSort,det_med3,sorted,5000,21,169448371864,70821,6664,0.407530,13
QuickSort,det_med3,sorted,5000,22,169448371865,70821,6664,0.104224,13
QuickSort,det_med3,sorted,5000,23,169448371866,70821,6664,0.107537,13
QuickSort,det_med3,sorted,5000,24,169448371867,70821,6664,0.110971,13
QuickSort,det_med3,sorted,5000,25,169448371868,70821,6664,0.108943,13
QuickSort,det_med3,sorted,5000,26,169448371869,70821,6664,0.104375,13
QuickSort,det_med3,sorted,5000,27,169448371870,70821,6664,0.113401,13
QuickSort,det_med3,sorted,5000,28,169448371871,70821,6664,0.107126,13
QuickSort,det_med3,sorted,5000,29,169448371872,70821,6664,0.115820,13
QuickSort,det_med3,sorted,5000,30,169448371873,70821,6664,0.106424,13
QuickSort,det_med3,sorted,5000,31,169448371874,70821,6664,0.104426,13
QuickSort,det_med3,sorted,5000,32,169448371875,70821,6664,0.108421,13
QuickSort,det_med3,sorted,5000,33,169448371876,70821,6664,0.108953,13
QuickSort,det_med3,sorted,5000,34,169448371877,70821,6664,0.109034,13
QuickSort,det_med3,sorted,5000,35,169448371878,70821,6664,0.110389,13
QuickSort,det_med3,sorted,5000,36,169448371879,70821,6664,0.143099,13
QuickSort,det_med3,sorted,5000,37,169448371880,70821,6664,0.109827,13
QuickSort,det_med3,sorted,5000,38,169448371881,70821,6664,0.108331,13
QuickSort,det_med3,sorted,5000,39,169448371882,70821,6664,0.111112,13
QuickSort,det_med3,sorted,5000,40,169448371883,70821,6664,0.101694,13
QuickSort,det_med3,sorted,5000,41,169448371884,70821,6664,0.098863,13
QuickSort,det_med3,sorted,5000,42,169448371885,70821,6664,0.105198,13
QuickSort,det_med3,sorted,5000,43,169448371886,70821,6664,0.107749,13
QuickSort,det_med3,sorted,5000,44,169448371887,70821,6664,0.115087,13
QuickSort,det_med3,sorted,5000,45,169448371888,70821,6664,0.111544,13
QuickSort,det_med3,sorted,5000,46,169448371889,70821,6664,0.112066,13
QuickSort,det_med3,sorted,5000,47,169448371890,70821,6664,0.113712,13
QuickSort,det_med3,sorted,5000,48,169448371891,70821,6664,0.114455,13
QuickSort,det_med3,sorted,5000,49,169448371892,70821,6664,0.111814,13
QuickSort,det_med3,sorted,5000,50,169448371893,70821,6664,0.152607,13
QuickSort,det_med3,sorted,5000,51,169448371894,70821,6664,0.107286,13
QuickSort,det_med3,sorted,5000,52,169448371895,70821,6664,0.116433,13
QuickSort,det_med3,sorted,5000,53,169448371896,70821,6664,0.117436,13
QuickSort,det_med3,sorted,5000,54,169448371897,70821,6664,0.117035,13
QuickSort,det_med3,sorted,5000,55,169448371898,70821,6664,0.119605,13
QuickSort,det_med3,sorted,5000,56,169448371899,70821,6664,0.119576,13
QuickSort,det_med3,sorted,5000,57,169448371900,70821,6664,0.119726,13
QuickSort,det_med3,sorted,5000,58,169448371901,70821,6664,0.203459,13
QuickSort,det_med3,sorted,5000,59,169448371902,70821,6664,0.118230,13
QuickSort,det_med3,sorted,5000,60,169448371903,70821,6664,0.117447,13
QuickSort,det_med3,sorted,5000,61,169448371904,70821,6664,0.329982,13
QuickSort,det_med3,sorted,5000,62,169448371905,70821,6664,0.111453,13
QuickSort,det_med3,sorted,5000,63,169448371906,70821,6664,0.108491,13
QuickSort,det_med3,sorted,5000,64,169448371907,70821,6664,0.107768,13
QuickSort,det_med3,sorted,5000,65,169448371908,70821,6664,0.112216,13
QuickSort,det_med3,sorted,5000,66,169448371909,70821,6664,0.113652,13
QuickSort,det_med3,sorted,5000,67,169448371910,70821,6664,0.115911,13
QuickSort,det_med3,sorted,5000,68,169448371911,70821,6664,0.092237,13
QuickSort,det_med3,sorted,5000,69,169448371912,70821,6664,0.093000,13
QuickSort,det_med3,sorted,5000,70,169448371913,70821,6664,0.108782,13
QuickSort,det_med3,sorted,5000,71,169448371914,70821,6664,0.126352,13
QuickSort,det_med3,sorted,5000,72,169448371915,70821,6664,0.130860,13
QuickSort,det_med3,sorted,5000,73,169448371916,70821,6664,0.134565,13
QuickSort,det_med3,sorted,5000,74,169448371917,70821,6664,0.156211,13
QuickSort,det_med3,sorted,5000,75,169448371918,70821,6664,0.082548,13
QuickSort,det_med3,sorted,5000,76,169448371919,70821,6664,0.090760,13
QuickSort,det_med3,sorted,5000,77,169448371920,70821,6664,0.097096,13
QuickSort,det_med3,sorted,5000,78,169448371921,70821,6664,0.084676,13
QuickSort,det_med3,sorted,5000,79,169448371922,70821,6664,0.081574,13
QuickSort,det_med3,sorted,5000,80,169448371923,70821,6664,0.082016,13
QuickSort,det_med3,sorted,5000,81,169448371924,70821,6664,0.081534,13
QuickSort,det_med3,sorted,5000,82,169448371925,70821,6664,0.120378,13
QuickSort,det_med3,sorted,5000,83,169448371926,70821,6664,0.107929,13
QuickSort,det_med3,sorted,5000,84,169448371927,70821,6664,0.084747,13
QuickSort,det_med3,sorted,5000,85,169448371928,70821,6664,0.082227,13
QuickSort,det_med3,sorted,5000,86,169448371929,70821,6664,0.082177,13
QuickSort,det_med3,sorted,5000,87,169448371930,70821,6664,0.081163,13
QuickSort,det_med3,sorted,5000,88,169448371931,70821,6664,0.081162,13
QuickSort,det_med3,sorted,5000,89,169448371932,70821,6664,0.082067,13
QuickSort,det_med3,sorted,5000,90,169448371933,70821,6664,0.082106,13
QuickSort,det_med3,sorted,5000,91,169448371934,70821,6664,0.082006,13
QuickSort,det_med3,sorted,5000,92,169448371935,70821,6664,0.080902,13
QuickSort,det_med3,sorted,5000,93,169448371936,70821,6664,0.094365,13
QuickSort,det_med3,sorted,5000,94,169448371937,70821,6664,0.081243,13
QuickSort,det_med3,sorted,5000,95,169448371938,70821,6664,0.080751,13
QuickSort,det_med3,sorted,5000,96,169448371939,70821,6664,0.081755,13
QuickSort,det_med3,sorted,5000,97,169448371940,70821,6664,0.081675,13
QuickSort,det_med3,sorted,5000,98,169448371941,70821,6664,0.148912,13
QuickSort,det_med3,sorted,5000,99,169448371942,70821,6664,0.087538,13
QuickSort,det_med3,sorted,5000,100,169448371943,70821,6664,0.080741,13
QuickSort,det_med3,sorted,5000,101,169448371944,70821,6664,0.081233,13
QuickSort,det_med3,sorted,5000,102,169448371945,70821,6664,0.081655,13
QuickSort,det_med3,sorted,5000,103,169448371946,70821,6664,0.081514,13
QuickSort,det_med3,sorted,5000,104,169448371947,70821,6664,0.101744,13
QuickSort,det_med3,sorted,5000,105,169448371948,70821,6664,0.081654,13
QuickSort,det_med3,sorted,5000,106,169448371949,70821,6664,0.080932,13
QuickSort,det_med3,sorted,5000,107,169448371950,70821,6664,0.081565,13
QuickSort,det_med3,sorted,5000,108,169448371951,70821,6664,0.081092,13
QuickSort,det_med3,sorted,5000,109,169448371952,70821,6664,0.082277,13
QuickSort,det_med3,sorted,5000,110,169448371953,70821,6664,0.080901,13
QuickSort,det_med3,sorted,5000,111,169448371954,70821,6664,0.081243,13
QuickSort,det_med3,sorted,5000,112,169448371955,70821,6664,0.081545,13
QuickSort,det_med3,sorted,5000,113,169448371956,70821,6664,0.081393,13
QuickSort,det_med3,sorted,5000,114,169448371957,70821,6664,0.080189,13
QuickSort,det_med3,sorted,5000,115,169448371958,70821,6664,0.081313,13
QuickSort,det_med3,sorted,5000,116,169448371959,70821,6664,0.087629,13
QuickSort,det_med3,sorted,5000,117,169448371960,70821,6664,0.083070,13
QuickSort,det_med3,sorted,5000,118,169448371961,70821,6664,0.081263,13
QuickSort,det_med3,sorted,5000,119,169448371962,70821,6664,0.081554,13
QuickSort,det_med3,sorted,5000,120,169448371963,70821,6664,0.080359,13
QuickSort,det_med3,sorted,5000,121,169448371964,70821,6664,0.081133,13
QuickSort,det_med3,sorted,5000,122,169448371965,70821,6664,0.107216,13
QuickSort,det_med3,sorted,5000,123,169448371966,70821,6664,0.114515,13
QuickSort,det_med3,sorted,5000,124,169448371967,70821,6664,0.080751,13
QuickSort,det_med3,sorted,5000,125,169448371968,70821,6664,0.081192,13
QuickSort,det_med3,sorted,5000,126,169448371969,70821,6664,0.080972,13
QuickSort,det_med3,sorted,5000,127,169448371970,70821,6664,0.081514,13
QuickSort,det_med3,sorted,5000,128,169448371971,70821,6664,0.080771,13
QuickSort,det_med3,sorted,5000,129,169448371972,70821,6664,0.081133,13
QuickSort,det_med3,sorted,5000,130,169448371973,70821,6664,0.092106,13
QuickSort,det_med3,sorted,5000,131,169448371974,70821,6664,0.092317,13
QuickSort,det_med3,sorted,5000,132,169448371975,70821,6664,0.093903,13
QuickSort,det_med3,sorted,5000,133,169448371976,70821,6664,0.100921,13
QuickSort,det_med3,sorted,5000,134,169448371977,70821,6664,0.143451,13
QuickSort,det_med3,sorted,5000,135,169448371978,70821,6664,0.094034,13
QuickSort,det_med3,sorted,5000,136,169448371979,70821,6664,0.081343,13
QuickSort,det_med3,sorted,5000,137,169448371980,70821,6664,0.081033,13
QuickSort,det_med3,sorted,5000,138,169448371981,70821,6664,0.081032,13
QuickSort,det_med3,sorted,5000,139,169448371982,70821,6664,0.080872,13
QuickSort,det_med3,sorted,5000,140,169448371983,70821,6664,0.081574,13
QuickSort,det_med3,sorted,5000,141,169448371984,70821,6664,0.105670,13
QuickSort,det_med3,sorted,5000,142,169448371985,70821,6664,0.087990,13
QuickSort,det_med3,sorted,5000,143,169448371986,70821,6664,0.081223,13
QuickSort,det_med3,sorted,5000,144,169448371987,70821,6664,0.081574,13
QuickSort,det_med3,sorted,5000,145,169448371988,70821,6664,0.105077,13
QuickSort,det_med3,sorted,5000,146,169448371989,70821,6664,0.089626,13
QuickSort,det_med3,sorted,5000,147,169448371990,70821,6664,0.100259,13
QuickSort,det_med3,sorted,5000,148,169448371991,70821,6664,0.083763,13
QuickSort,det_med3,sorted,5000,149,169448371992,70821,6664,0.081494,13
QuickSort,det_med3,sorted,5000,150,169448371993,70821,6664,0.110972,13
QuickSort,det_med3,sorted,5000,151,169448371994,70821,6664,0.113743,13
QuickSort,det_med3,sorted,5000,152,169448371995,70821,6664,0.114164,13
