algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,random,few_distinct,5000,0,172976681342,73630,30092,0.205798,18
QuickSort,random,few_distinct,5000,1,172976681343,73595,30046,0.201955,17
QuickSort,random,few_distinct,5000,2,172976681344,71863,30202,0.206383,17
QuickSort,random,few_distinct,5000,3,172976681345,72729,30105,0.201827,17
QuickSort,random,few_distinct,5000,4,172976681346,71842,30244,0.204323,16
QuickSort,random,few_distinct,5000,5,172976681347,72576,30224,0.203352,17
QuickSort,random,few_distinct,5000,6,172976681348,72351,30364,0.201817,17
QuickSort,random,few_distinct,5000,7,172976681349,72805,30177,0.218643,17
QuickSort,random,few_distinct,5000,8,172976681350,71602,30394,0.203818,16
QuickSort,random,few_distinct,5000,9,172976681351,71196,30319,0.205709,17
QuickSort,random,few_distinct,5000,10,172976681352,72014,30217,0.203580,17
QuickSort,random,few_distinct,5000,11,172976681353,71501,30163,0.203886,16
QuickSort,random,few_distinct,5000,12,172976681354,71821,30338,0.202560,16
QuickSort,random,few_distinct,5000,13,172976681355,74146,30180,0.220614,18
QuickSort,random,few_distinct,5000,14,172976681356,71692,30286,0.206410,17
QuickSort,random,few_distinct,5000,15,172976681357,71648,30387,0.347083,16
QuickSort,random,few_distinct,5000,16,172976681358,75864,30121,0.414117,18
QuickSort,random,few_distinct,5000,17,172976681359,72011,30269,0.297506,17
QuickSort,random,few_distinct,5000,18,172976681360,73093,30262,0.248725,17
QuickSort,random,few_distinct,5000,19,172976681361,79215,29803,0.214113,20
QuickSort,random,few_distinct,5000,20,172976681362,72831,30056,0.238469,17
QuickSort,random,few_distinct,5000,21,172976681363,71501,30183,0.205222,17
QuickSort,random,few_distinct,5000,22,172976681364,73473,30106,0.199004,17
QuickSort,random,few_distinct,5000,23,172976681365,72234,30287,0.199657,17
QuickSort,random,few_distinct,5000,24,172976681366,71587,30257,0.202658,17
QuickSort,random,few_distinct,5000,25,172976681367,73362,30188,0.199311,18
QuickSort,random,few_distinct,5000,26,172976681368,72784,30100,0.200301,17
QuickSort,random,few_distinct,5000,27,172976681369,70807,30208,0.205974,17
QuickSort,random,few_distinct,5000,28,172976681370,74695,30185,0.198855,17
QuickSort,random,few_distinct,5000,29,172976681371,73462,30160,0.210360,18
QuickSort,random,few_distinct,5000,30,172976681372,74680,30003,0.197084,18
QuickSort,random,few_distinct,5000,31,172976681373,74365,29962,0.196034,18
QuickSort,random,few_distinct,5000,32,172976681374,71884,30286,0.202480,17
QuickSort,random,few_distinct,5000,33,172976681375,71102,30305,0.203935,16
QuickSort,random,few_distinct,5000,34,172976681376,72639,30196,0.201519,17
QuickSort,random,few_distinct,5000,35,172976681377,73803,30114,0.200509,18
QuickSort,random,few_distinct,5000,36,172976681378,71978,30351,0.266478,17
QuickSort,random,few_distinct,5000,37,172976681379,74638,30079,0.207430,19
QuickSort,random,few_distinct,5000,38,172976681380,71288,30253,0.202736,17
QuickSort,random,few_distinct,5000,39,172976681381,73003,30270,0.199697,17
QuickSort,random,few_distinct,5000,40,172976681382,72625,30108,0.200876,18
QuickSort,random,few_distinct,5000,41,172976681383,74046,30066,0.195430,18
QuickSort,random,few_distinct,5000,42,172976681384,71674,30249,0.203024,16
QuickSort,random,few_distinct,5000,43,172976681385,73507,30120,0.196519,17
QuickSort,random,few_distinct,5000,44,172976681386,72622,30301,0.196905,17
QuickSort,random,few_distinct,5000,45,172976681387,73517,30213,0.199252,19
QuickSort,random,few_distinct,5000,46,172976681388,72551,30269,0.233142,18
QuickSort,random,few_distinct,5000,47,172976681389,71330,30241,0.206242,17
QuickSort,random,few_distinct,5000,48,172976681390,72254,30067,0.202658,17
QuickSort,random,few_distinct,5000,49,172976681391,71425,30396,0.204707,16
QuickSort,random,few_distinct,5000,50,172976681392,71748,30201,0.205865,17
QuickSort,random,few_distinct,5000,51,172976681393,74330,30027,0.196588,18
QuickSort,random,few_distinct,5000,52,172976681394,72046,30251,0.203470,17
QuickSort,random,few_distinct,5000,53,172976681395,72324,30164,0.262320,17
QuickSort,random,few_distinct,5000,54,172976681396,71872,30330,0.247201,17
QuickSort,random,few_distinct,5000,55,172976681397,74338,30076,0.195965,17
QuickSort,random,few_distinct,5000,56,172976681398,73593,30126,0.194895,17
QuickSort,random,few_distinct,5000,57,172976681399,77941,29911,0.194351,20
QuickSort,random,few_distinct,5000,58,172976681400,75634,30021,0.190390,19
QuickSort,random,few_distinct,5000,59,172976681401,71866,30469,0.202073,16
QuickSort,random,few_distinct,5000,60,172976681402,71855,30262,0.204548,17
QuickSort,random,few_distinct,5000,61,172976681403,72930,30206,0.199390,17
QuickSort,random,few_distinct,5000,62,172976681404,71840,30309,0.204420,17
QuickSort,random,few_distinct,5000,63,172976681405,73294,30172,0.212024,18
QuickSort,random,few_distinct,5000,64,172976681406,73803,30201,0.197886,17
QuickSort,random,few_distinct,5000,65,172976681407,74058,30101,0.196182,17
QuickSort,random,few_distinct,5000,66,172976681408,71715,30197,0.202707,16
QuickSort,random,few_distinct,5000,67,172976681409,70955,30242,0.226538,17
QuickSort,random,few_distinct,5000,68,172976681410,71554,30355,0.203529,16
QuickSort,random,few_distinct,5000,69,172976681411,71717,30364,0.202272,16
QuickSort,random,few_distinct,5000,70,172976681412,72356,30086,0.203420,18
QuickSort,random,few_distinct,5000,71,172976681413,71866,30163,0.202459,17
QuickSort,random,few_distinct,5000,72,172976681414,73907,30133,0.211568,18
QuickSort,random,few_distinct,5000,73,172976681415,73688,30497,0.199034,16
QuickSort,random,few_distinct,5000,74,172976681416,73550,30195,0.196905,17
QuickSort,random,few_distinct,5000,75,172976681417,71731,30135,0.202479,18
QuickSort,random,few_distinct,5000,76,172976681418,75566,29974,0.193955,19
QuickSort,random,few_distinct,5000,77,172976681419,72729,30243,0.202350,18
QuickSort,random,few_distinct,5000,78,172976681420,71012,30141,0.203083,16
QuickSort,random,few_distinct,5000,79,172976681421,73879,30183,0.197559,17
QuickSort,random,few_distinct,5000,80,172976681422,71748,30269,0.213499,17
QuickSort,random,few_distinct,5000,81,172976681423,71389,30214,0.451235,17
QuickSort,random,few_distinct,5000,82,172976681424,72062,30072,0.274111,16
QuickSort,random,few_distinct,5000,83,172976681425,75075,30236,0.392880,18
QuickSort,random,few_distinct,5000,84,172976681426,72498,30227,0.554618,18
QuickSort,random,few_distinct,5000,85,172976681427,74122,30029,0.236637,18
QuickSort,random,few_distinct,5000,86,172976681428,71919,30199,0.247736,17
QuickSort,random,few_distinct,5000,87,172976681429,72138,30250,0.220113,18
QuickSort,random,few_distinct,5000,88,172976681430,73292,30163,0.230052,17
QuickSort,random,few_distinct,5000,89,172976681431,71491,30206,0.206806,17
QuickSort,random,few_distinct,5000,90,172976681432,74552,30031,0.199509,18
QuickSort,random,few_distinct,5000,91,172976681433,70629,30274,0.207291,17
QuickSort,random,few_distinct,5000,92,172976681434,73796,29919,0.318397,18
QuickSort,random,few_distinct,5000,93,172976681435,71329,30352,0.205806,16
QuickSort,random,few_distinct,5000,94,172976681436,72943,30053,0.257507,17
QuickSort,random,few_distinct,5000,95,172976681437,72226,30153,0.260389,18
QuickSort,random,few_distinct,5000,96,172976681438,73493,30287,0.208331,17
QuickSort,random,few_distinct,5000,97,172976681439,72096,30189,0.204964,17
QuickSort,random,few_distinct,5000,98,172976681440,72690,30142,0.199460,17
QuickSort,random,few_distinct,5000,99,172976681441,72310,30095,0.361266,18
QuickSort,random,few_distinct,5000,100,172976681442,71899,30328,0.238022,16
QuickSort,random,few_distinct,5000,101,172976681443,71483,30218,0.214796,17
QuickSort,random,few_distinct,5000,102,172976681444,74019,30124,0.200727,17
