algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,random,nearly_sorted,10000,0,184590252838,189952,14576,0.434857,30
QuickSort,random,nearly_sorted,10000,1,184590252839,184850,14574,0.414013,29
QuickSort,random,nearly_sorted,10000,2,184590252840,200516,14436,0.415185,32
QuickSort,random,nearly_sorted,10000,3,184590252841,200480,14642,0.415807,33
QuickSort,random,nearly_sorted,10000,4,184590252842,187868,14522,0.482025,30
QuickSort,random,nearly_sorted,10000,5,184590252843,189587,14428,0.456202,31
QuickSort,random,nearly_sorted,10000,6,184590252844,195933,14502,0.469469,31
QuickSort,random,nearly_sorted,10000,7,184590252845,195749,14420,0.451782,28
QuickSort,random,nearly_sorted,10000,8,184590252846,186608,14552,0.429886,28
QuickSort,random,nearly_sorted,10000,9,184590252847,191110,14498,0.406608,30
QuickSort,random,nearly_sorted,10000,10,184590252848,189919,14448,0.434546,30
QuickSort,random,nearly_sorted,10000,11,184590252849,191631,14554,0.415767,29
QuickSort,random,nearly_sorted,10000,12,184590252850,191843,14564,0.437823,30
QuickSort,random,nearly_sorted,10000,13,184590252851,189985,14400,0.445128,31
QuickSort,random,nearly_sorted,10000,14,184590252852,188828,14350,0.423463,29
QuickSort,random,nearly_sorted,10000,15,184590252853,192052,14448,0.406348,32
QuickSort,random,nearly_sorted,10000,16,184590252854,196917,14604,0.409273,32
QuickSort,random,nearly_sorted,10000,17,184590252855,187142,14390,0.402870,29
QuickSort,random,nearly_sorted,10000,18,184590252856,195269,14490,0.420967,30
QuickSort,random,nearly_sorted,10000,19,184590252857,200266,14380,0.410306,33
QuickSort,random,nearly_sorted,10000,20,184590252858,201695,14450,0.411629,31
QuickSort,random,nearly_sorted,10000,21,184590252859,202617,14446,0.428253,33
QuickSort,random,nearly_sorted,10000,22,184590252860,212255,14604,0.526939,37
QuickSort,random,nearly_sorted,10000,23,184590252861,188550,14388,0.406348,30
QuickSort,random,nearly_sorted,10000,24,184590252862,201412,14488,0.411999,35
QuickSort,random,nearly_sorted,10000,25,184590252863,186535,14372,0.405295,29
QuickSort,random,nearly_sorted,10000,26,184590252864,196872,14540,0.441090,29
QuickSort,random,nearly_sorted,10000,27,184590252865,193503,14468,0.433724,31
QuickSort,random,nearly_sorted,10000,28,184590252866,196142,14540,0.539666,30
QuickSort,random,nearly_sorted,10000,29,184590252867,194339,14396,0.440318,32
QuickSort,random,nearly_sorted,10000,30,184590252868,186505,14410,0.426730,30
QuickSort,random,nearly_sorted,10000,31,184590252869,185305,14546,0.420206,29
QuickSort,random,nearly_sorted,10000,32,184590252870,191076,14600,0.411248,30
QuickSort,random,nearly_sorted,10000,33,184590252871,194351,14406,0.432131,30
QuickSort,random,nearly_sorted,10000,34,184590252872,194373,14562,0.432312,32
QuickSort,random,nearly_sorted,10000,35,184590252873,197934,14400,0.428353,32
QuickSort,random,nearly_sorted,10000,36,184590252874,192606,14398,0.431540,32
QuickSort,random,nearly_sorted,10000,37,184590252875,194174,14452,0.428433,31
QuickSort,random,nearly_sorted,10000,38,184590252876,199834,14568,0.409614,31
QuickSort,random,nearly_sorted,10000,39,184590252877,195369,14454,0.521437,31
QuickSort,random,nearly_sorted,10000,40,184590252878,185761,14344,0.409644,27
QuickSort,random,nearly_sorted,10000,41,184590252879,191932,14436,0.426729,29
QuickSort,random,nearly_sorted,10000,42,184590252880,192590,14604,0.442101,30
QuickSort,random,nearly_sorted,10000,43,184590252881,192877,14486,0.477747,31
QuickSort,random,nearly_sorted,10000,44,184590252882,190549,14578,0.515054,31
QuickSort,random,nearly_sorted,10000,45,184590252883,209034,14376,0.430657,34
QuickSort,random,nearly_sorted,10000,46,184590252884,197599,14410,0.411397,33
QuickSort,random,nearly_sorted,10000,47,184590252885,189688,14576,0.406537,32
QuickSort,random,nearly_sorted,10000,48,184590252886,209205,14566,0.457544,31
QuickSort,random,nearly_sorted,10000,49,184590252887,196522,14400,0.420296,31
QuickSort,random,nearly_sorted,10000,50,184590252888,193740,14462,0.420015,30
QuickSort,random,nearly_sorted,10000,51,184590252889,195113,14408,0.425597,30
QuickSort,random,nearly_sorted,10000,52,184590252890,190665,14596,0.417991,31
QuickSort,random,nearly_sorted,10000,53,184590252891,182696,14478,0.415306,27
QuickSort,random,nearly_sorted,10000,54,184590252892,193620,14540,0.462194,30
QuickSort,random,nearly_sorted,10000,55,184590252893,195837,14500,0.436821,30
QuickSort,random,nearly_sorted,10000,56,184590252894,198161,14534,0.411287,30
QuickSort,random,nearly_sorted,10000,57,184590252895,189460,14516,0.419074,28
QuickSort,random,nearly_sorted,10000,58,184590252896,202663,14500,0.424505,29
QuickSort,random,nearly_sorted,10000,59,184590252897,198472,14434,0.456953,32
QuickSort,random,nearly_sorted,10000,60,184590252898,190866,14542,0.603418,30
QuickSort,random,nearly_sorted,10000,61,184590252899,197892,14484,0.587014,29
QuickSort,random,nearly_sorted,10000,62,184590252900,201336,14608,0.443384,37
QuickSort,random,nearly_sorted,10000,63,184590252901,197500,14570,0.494651,31
QuickSort,random,nearly_sorted,10000,64,184590252902,198452,14598,0.412460,32
QuickSort,random,nearly_sorted,10000,65,184590252903,187848,14572,0.406838,29
QuickSort,random,nearly_sorted,10000,66,184590252904,198282,14554,0.489641,32
QuickSort,random,nearly_sorted,10000,67,184590252905,202939,14484,0.415015,31
QuickSort,random,nearly_sorted,10000,68,184590252906,200453,14660,0.424896,32
QuickSort,random,nearly_sorted,10000,69,184590252907,191559,14526,0.415848,33
QuickSort,random,nearly_sorted,10000,70,184590252908,193222,14572,0.408562,29
QuickSort,random,nearly_sorted,10000,71,184590252909,197047,14438,0.408191,29
QuickSort,random,nearly_sorted,10000,72,184590252910,199100,14548,0.411338,30
QuickSort,random,nearly_sorted,10000,73,184590252911,192268,14582,0.601063,30
QuickSort,random,nearly_sorted,10000,74,184590252912,204077,14548,0.537261,31
QuickSort,random,nearly_sorted,10000,75,184590252913,205555,14718,0.503309,33
QuickSort,random,nearly_sorted,10000,76,184590252914,194467,14392,0.661469,30
QuickSort,random,nearly_sorted,10000,77,184590252915,196739,14520,0.479590,30
QuickSort,random,nearly_sorted,10000,78,184590252916,197473,14356,0.463136,32
QuickSort,random,nearly_sorted,10000,79,184590252917,199092,14508,0.435388,33
QuickSort,random,nearly_sorted,10000,80,184590252918,189883,14580,0.462985,30
QuickSort,random,nearly_sorted,10000,81,184590252919,197010,14586,0.420366,28
QuickSort,random,nearly_sorted,10000,82,184590252920,204760,14398,0.430798,32
QuickSort,random,nearly_sorted,10000,83,184590252921,193646,14622,0.427883,29
QuickSort,random,nearly_sorted,10000,84,184590252922,187001,14376,0.420988,28
QuickSort,random,nearly_sorted,10000,85,184590252923,188979,14528,0.504181,27
QuickSort,random,nearly_sorted,10000,86,184590252924,201462,14480,0.462594,31
QuickSort,random,nearly_sorted,10000,87,184590252925,200728,14576,0.670107,30
QuickSort,random,nearly_sorted,10000,88,184590252926,193626,14564,0.571763,28
QuickSort,random,nearly_sorted,10000,89,184590252927,196250,14512,0.462985,30
QuickSort,random,nearly_sorted,10000,90,184590252928,185776,14530,0.502137,27
QuickSort,random,nearly_sorted,10000,91,184590252929,195630,14524,0.448435,33
QuickSort,random,nearly_sorted,10000,92,184590252930,197847,14518,0.425137,32
QuickSort,random,nearly_sorted,10000,93,184590252931,199070,14476,0.424235,33
QuickSort,random,nearly_sorted,10000,94,184590252932,194886,14342,0.416929,30
QuickSort,random,nearly_sorted,10000,95,184590252933,190340,14384,0.430588,30
QuickSort,random,nearly_sorted,10000,96,184590252934,191011,14586,0.425948,32
QuickSort,random,nearly_sorted,10000,97,184590252935,189305,14390,0.413382,32
QuickSort,random,nearly_sorted,10000,98,184590252936,194974,14476,0.409344,31
QuickSort,random,nearly_sorted,10000,99,184590252937,194907,14562,0.438344,33
