algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,random,random,1000,0,165214788890,14730,3116,0.091168,21
QuickSort,random,random,1000,1,165214788891,14901,3096,0.091037,20
QuickSort,random,random,1000,2,165214788892,14731,3120,0.090896,24
QuickSort,random,random,1000,3,165214788893,14869,3062,0.110875,22
QuickSort,random,random,1000,4,165214788894,14418,3137,0.390457,24
QuickSort,random,random,1000,5,165214788895,14777,3099,0.379758,20
QuickSort,random,random,1000,6,165214788896,14359,3084,0.462782,21
QuickSort,random,random,1000,7,165214788897,14369,3120,0.210315,20
QuickSort,random,random,1000,8,165214788898,16622,3020,0.085964,24
QuickSort,random,random,1000,9,165214788899,14085,3119,0.088551,20
QuickSort,random,random,1000,10,165214788900,14433,3138,0.090211,24
QuickSort,random,random,1000,11,165214788901,14748,3064,0.086276,21
QuickSort,random,random,1000,12,165214788902,14766,3084,0.089044,22
QuickSort,random,random,1000,13,165214788903,15033,3085,0.087383,23
QuickSort,random,random,1000,14,165214788904,15083,3122,0.090172,23
QuickSort,random,random,1000,15,165214788905,14707,3102,0.080146,20
QuickSort,random,random,1000,16,165214788906,15177,3168,0.077741,21
QuickSort,random,random,1000,17,165214788907,13849,3126,0.077278,19
QuickSort,random,random,1000,18,165214788908,14485,3118,0.078204,20
QuickSort,random,random,1000,19,165214788909,14086,3071,0.077439,19
QuickSort,random,random,1000,20,165214788910,14759,3087,0.078506,23
QuickSort,random,random,1000,21,165214788911,15197,3099,0.076634,21
QuickSort,random,random,1000,22,165214788912,16123,3067,0.078597,23
QuickSort,random,random,1000,23,165214788913,14546,3075,0.077097,19
QuickSort,random,random,1000,24,165214788914,14516,3099,0.079059,20
QuickSort,random,random,1000,25,165214788915,15523,3090,0.077690,21
QuickSort,random,random,1000,26,165214788916,14753,3107,0.123636,20
QuickSort,random,random,1000,27,165214788917,14059,3085,0.082874,19
QuickSort,random,random,1000,28,165214788918,15553,3120,0.081345,23
QuickSort,random,random,1000,29,165214788919,13964,3118,0.080952,20
QuickSort,random,random,1000,30,165214788920,14652,3098,0.080076,23
QuickSort,random,random,1000,31,165214788921,14521,3117,0.079221,21
QuickSort,random,random,1000,32,165214788922,14452,3087,0.078617,20
QuickSort,random,random,1000,33,165214788923,14291,3122,0.079009,21
QuickSort,random,random,1000,34,165214788924,14615,3103,0.078869,20
QuickSort,random,random,1000,35,165214788925,16120,3050,0.077056,22
QuickSort,random,random,1000,36,165214788926,15421,3087,0.079090,22
QuickSort,random,random,1000,37,165214788927,15159,3099,0.077872,21
QuickSort,random,random,1000,38,165214788928,15023,3048,0.077822,22
QuickSort,random,random,1000,39,165214788929,14240,3149,0.082693,21
QuickSort,random,random,1000,40,165214788930,15130,3067,0.081968,25
QuickSort,random,random,1000,41,165214788931,14607,3082,0.082864,22
QuickSort,random,random,1000,42,165214788932,14899,3103,0.080952,21
QuickSort,random,random,1000,43,165214788933,14022,3121,0.081254,19
QuickSort,random,random,1000,44,165214788934,14024,3132,0.163654,17
QuickSort,random,random,1000,45,165214788935,14423,3203,0.085663,21
QuickSort,random,random,1000,46,165214788936,15496,3118,0.109677,21
QuickSort,random,random,1000,47,165214788937,14408,3124,0.077983,22
QuickSort,random,random,1000,48,165214788938,14111,3125,0.078678,19
QuickSort,random,random,1000,49,165214788939,14369,3081,0.079110,19
QuickSort,random,random,1000,50,165214788940,15767,3095,0.078234,23
QuickSort,random,random,1000,51,165214788941,15318,3071,0.077429,22
QuickSort,random,random,1000,52,165214788942,14016,3088,0.083337,19
QuickSort,random,random,1000,53,165214788943,14180,3149,0.107352,20
QuickSort,random,random,1000,54,165214788944,14267,3110,0.077207,22
QuickSort,random,random,1000,55,165214788945,15946,3122,0.077851,26
QuickSort,random,random,1000,56,165214788946,14544,3125,0.077248,21
QuickSort,random,random,1000,57,165214788947,14718,3056,0.077228,20
QuickSort,random,random,1000,58,165214788948,14472,3096,0.077036,23
QuickSort,random,random,1000,59,165214788949,14532,3103,0.078557,23
QuickSort,random,random,1000,60,165214788950,14741,3146,0.077580,20
QuickSort,random,random,1000,61,165214788951,14166,3097,0.077651,20
QuickSort,random,random,1000,62,165214788952,14728,3138,0.078264,20
QuickSort,random,random,1000,63,165214788953,15092,3062,0.078858,23
QuickSort,random,random,1000,64,165214788954,14831,3103,0.083951,21
QuickSort,random,random,1000,65,165214788955,14518,3083,0.080035,21
QuickSort,random,random,1000,66,165214788956,14223,3146,0.081485,21
QuickSort,random,random,1000,67,165214788957,14689,3071,0.076171,22
QuickSort,random,random,1000,68,165214788958,14617,3125,0.077982,20
QuickSort,random,random,1000,69,165214788959,14660,3094,0.097982,21
QuickSort,random,random,1000,70,165214788960,14476,3139,0.077943,22
QuickSort,random,random,1000,71,165214788961,14281,3117,0.084303,20
QuickSort,random,random,1000,72,165214788962,14573,3058,0.081083,21
