algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,random,reverse,1000,0,165548797433,14825,1914,0.073866,22
QuickSort,random,reverse,1000,1,165548797434,14980,1906,0.046470,21
QuickSort,random,reverse,1000,2,165548797435,14872,1950,0.045775,21
QuickSort,random,reverse,1000,3,165548797436,14209,1944,0.044033,19
QuickSort,random,reverse,1000,4,165548797437,14139,1906,0.044527,19
QuickSort,random,reverse,1000,5,165548797438,15332,1928,0.043722,23
QuickSort,random,reverse,1000,6,165548797439,15514,1930,0.053303,23
QuickSort,random,reverse,1000,7,165548797440,14602,1894,0.044205,20
QuickSort,random,reverse,1000,8,165548797441,14314,1946,0.043208,19
QuickSort,random,reverse,1000,9,165548797442,14469,1920,0.041669,21
QuickSort,random,reverse,1000,10,165548797443,13822,1922,0.041920,19
QuickSort,random,reverse,1000,11,165548797444,15916,1904,0.042595,22
QuickSort,random,reverse,1000,12,165548797445,14895,1908,0.043370,21
QuickSort,random,reverse,1000,13,165548797446,14719,1956,0.041417,22
QuickSort,random,reverse,1000,14,165548797447,14440,1974,0.041638,20
QuickSort,random,reverse,1000,15,165548797448,14365,1960,0.041105,21
QuickSort,random,reverse,1000,16,165548797449,14705,1904,0.043218,22
QuickSort,random,reverse,1000,17,165548797450,15449,1936,0.049911,22
QuickSort,random,reverse,1000,18,165548797451,15216,1920,0.047858,24
QuickSort,random,reverse,1000,19,165548797452,15262,1908,0.049720,23
QuickSort,random,reverse,1000,20,165548797453,15445,1948,0.049459,24
QuickSort,random,reverse,1000,21,165548797454,15649,1924,0.051491,21
QuickSort,random,reverse,1000,22,165548797455,14361,1938,0.048281,22
QuickSort,random,reverse,1000,23,165548797456,14501,1960,0.047254,20
QuickSort,random,reverse,1000,24,165548797457,14597,1940,0.107000,20
QuickSort,random,reverse,1000,25,165548797458,15335,1906,0.047053,24
QuickSort,random,reverse,1000,26,165548797459,14037,1970,0.040572,20
QuickSort,random,reverse,1000,27,165548797460,15075,1938,0.041880,20
QuickSort,random,reverse,1000,28,165548797461,15258,1956,0.042896,21
QuickSort,random,reverse,1000,29,165548797462,14656,1924,0.040531,20
QuickSort,random,reverse,1000,30,165548797463,15705,1958,0.043752,23
QuickSort,random,reverse,1000,31,165548797464,14062,1936,0.041648,21
QuickSort,random,reverse,1000,32,165548797465,15691,1906,0.042595,22
QuickSort,random,reverse,1000,33,165548797466,16284,1922,0.043672,24
QuickSort,random,reverse,1000,34,165548797467,14734,1948,0.041055,22
QuickSort,random,reverse,1000,35,165548797468,14472,1930,0.041870,22
QuickSort,random,reverse,1000,36,165548797469,15336,1918,0.042967,22
QuickSort,random,reverse,1000,37,165548797470,14854,1924,0.042262,21
QuickSort,random,reverse,1000,38,165548797471,15445,1948,0.042414,22
QuickSort,random,reverse,1000,39,165548797472,14428,1946,0.041890,18
QuickSort,random,reverse,1000,40,165548797473,13923,1926,0.054632,21
QuickSort,random,reverse,1000,41,165548797474,15558,1940,0.042604,27
QuickSort,random,reverse,1000,42,165548797475,15720,1938,0.044446,24
QuickSort,random,reverse,1000,43,165548797476,14073,1906,0.040310,20
QuickSort,random,reverse,1000,44,165548797477,14025,1954,0.040149,18
QuickSort,random,reverse,1000,45,165548797478,14960,1956,0.040078,20
QuickSort,random,reverse,1000,46,165548797479,15367,1932,0.041215,22
QuickSort,random,reverse,1000,47,165548797480,14289,1924,0.039947,19
QuickSort,random,reverse,1000,48,165548797481,14004,1992,0.039082,17
QuickSort,random,reverse,1000,49,165548797482,13885,1902,0.038488,18
QuickSort,random,reverse,1000,50,165548797483,14611,1890,0.038518,19
QuickSort,random,reverse,1000,51,165548797484,14626,1944,0.039585,21
QuickSort,random,reverse,1000,52,165548797485,14230,1916,0.039867,20
QuickSort,random,reverse,1000,53,165548797486,14306,1948,0.039645,22
QuickSort,random,reverse,1000,54,165548797487,15234,1906,0.042463,22
QuickSort,random,reverse,1000,55,165548797488,14882,1918,0.040864,19
QuickSort,random,reverse,1000,56,165548797489,15450,1920,0.040572,23
QuickSort,random,reverse,1000,57,165548797490,15422,1978,0.040582,22
QuickSort,random,reverse,1000,58,165548797491,14352,1912,0.042162,20
QuickSort,random,reverse,1000,59,165548797492,15072,1966,0.040863,22
QuickSort,random,reverse,1000,60,165548797493,14924,1936,0.042726,22
QuickSort,random,reverse,1000,61,165548797494,14127,1914,0.039746,23
QuickSort,random,reverse,1000,62,165548797495,14859,1932,0.042947,23
QuickSort,random,reverse,1000,63,165548797496,14966,1906,0.042152,21
QuickSort,random,reverse,1000,64,165548797497,14267,1930,0.040089,21
QuickSort,random,reverse,1000,65,165548797498,14725,1944,0.042494,22
QuickSort,random,reverse,1000,66,165548797499,14302,1898,0.040249,20
QuickSort,random,reverse,1000,67,165548797500,15484,1886,0.042876,25
QuickSort,random,reverse,1000,68,165548797501,15489,1924,0.042584,22
QuickSort,random,reverse,1000,69,165548797502,14156,1950,0.040954,21
QuickSort,random,reverse,1000,70,165548797503,14140,1968,0.041779,18
QuickSort,random,reverse,1000,71,165548797504,14474,1964,0.040159,21
QuickSort,random,reverse,1000,72,165548797505,15872,1890,0.043470,24
QuickSort,random,reverse,1000,73,165548797506,16380,1906,0.042715,24
QuickSort,random,reverse,1000,74,165548797507,14970,1888,0.041960,23
