algorithm,variant,input_type,n,trial,seed,comparisons,swaps,time_ms,max_depth
QuickSort,random,sorted,5000,0,166448557494,94701,7130,0.258755,30
QuickSort,random,sorted,5000,1,166448557495,84154,7072,0.242744,27
QuickSort,random,sorted,5000,2,166448557496,94262,7172,0.253535,29
QuickSort,random,sorted,5000,3,166448557497,90378,7162,0.215207,26
QuickSort,random,sorted,5000,4,166448557498,91951,7220,0.226803,28
QuickSort,random,sorted,5000,5,166448557499,92007,7228,0.274545,29
QuickSort,random,sorted,5000,6,166448557500,88691,7254,0.217933,26
QuickSort,random,sorted,5000,7,166448557501,87721,7262,0.203570,25
QuickSort,random,sorted,5000,8,166448557502,89537,7308,0.206829,30
QuickSort,random,sorted,5000,9,166448557503,88311,7182,0.198079,27
QuickSort,random,sorted,5000,10,166448557504,94576,7040,0.199638,28
QuickSort,random,sorted,5000,11,166448557505,90330,7146,0.196822,26
QuickSort,random,sorted,5000,12,166448557506,96146,7258,0.200181,32
QuickSort,random,sorted,5000,13,166448557507,95722,7154,0.198874,31
QuickSort,random,sorted,5000,14,166448557508,92413,7182,0.198471,28
QuickSort,random,sorted,5000,15,166448557509,91201,7220,0.197044,30
QuickSort,random,sorted,5000,16,166448557510,87513,7156,0.232345,27
QuickSort,random,sorted,5000,17,166448557511,93477,7150,0.227225,27
QuickSort,random,sorted,5000,18,166448557512,87251,7200,0.234567,28
QuickSort,random,sorted,5000,19,166448557513,89350,7164,0.224359,26
QuickSort,random,sorted,5000,20,166448557514,86625,7196,0.205281,26
QuickSort,random,sorted,5000,21,166448557515,94831,7226,0.199718,33
QuickSort,random,sorted,5000,22,166448557516,91018,7212,0.198290,30
QuickSort,random,sorted,5000,23,166448557517,94138,7140,0.197425,30
QuickSort,random,sorted,5000,24,166448557518,86917,7200,0.193845,28
QuickSort,random,sorted,5000,25,166448557519,93978,7166,0.298521,30
QuickSort,random,sorted,5000,26,166448557520,90035,7202,0.244272,32
QuickSort,random,sorted,5000,27,166448557521,84878,7246,0.231258,26
QuickSort,random,sorted,5000,28,166448557522,85774,7178,0.291789,27
QuickSort,random,sorted,5000,29,166448557523,93982,7070,0.246224,28
QuickSort,random,sorted,5000,30,166448557524,87600,7236,0.231530,25
QuickSort,random,sorted,5000,31,166448557525,89558,7228,0.240703,26
QuickSort,random,sorted,5000,32,166448557526,94499,7196,0.247410,31
QuickSort,random,sorted,5000,33,166448557527,92520,7240,0.306853,30
QuickSort,random,sorted,5000,34,166448557528,83801,7200,0.236760,24
QuickSort,random,sorted,5000,35,166448557529,90419,7192,0.248416,28
QuickSort,random,sorted,5000,36,166448557530,86831,7212,0.325209,25
QuickSort,random,sorted,5000,37,166448557531,97446,7240,0.260566,32
QuickSort,random,sorted,5000,38,166448557532,94113,7282,0.248577,29
QuickSort,random,sorted,5000,39,166448557533,88542,7156,0.242603,29
QuickSort,random,sorted,5000,40,166448557534,87441,7152,0.291928,24
QuickSort,random,sorted,5000,41,166448557535,88448,7218,0.215448,28
QuickSort,random,sorted,5000,42,166448557536,87171,7146,0.273378,28
QuickSort,random,sorted,5000,43,166448557537,91750,7190,0.272081,30
QuickSort,random,sorted,5000,44,166448557538,91014,7162,0.454170,28
QuickSort,random,sorted,5000,45,166448557539,89807,7224,0.252208,30
QuickSort,random,sorted,5000,46,166448557540,93931,7250,0.397717,27
